pair,i,side,price,atr,tp_dist,tp_frac,structure_quality,spike_risk_score,spike_bucket,move_potential,wall_ratio,overall_score,reason,mfe_frac,mae_frac,bars_held,main_correct,second_correct
ETHUSDT,3499,long,1877.26,0.6192857142857194,11.26356,0.006,1.0,0.3606,medium,0.15,0.2832141880542257,0.1758,TIMEOUT,0.004112,0.0,240,False,False
ETHUSDT,3502,long,1878.31,0.6592857142857156,11.26986,0.006,1.0,0.0556,low,0.15,0.1898870083568119,0.2978,TIMEOUT,0.003551,0.000346,240,False,False
ETHUSDT,3511,long,1879.07,0.363571428571439,11.27442,0.006,1.0,0.0092,low,0.15,0.12240097495038407,0.3163,TIMEOUT,0.003145,0.00075,240,False,False
ETHUSDT,3520,short,1878.69,0.3178571428571623,11.27214,0.006,1.0,0.6082,medium,0.15,0.07540715427595261,0.0767,TIMEOUT,0.000548,0.003348,240,False,False
ETHUSDT,3523,short,1878.46,0.3235714285714429,11.270760000000001,0.006,1.0,0.3297,low,0.15,0.055009600062473,0.1881,TIMEOUT,0.000426,0.003471,240,False,False
ETHUSDT,3526,long,1878.68,0.3328571428571487,11.27208,0.006,1.0,0.2604,low,0.15,0.15702514531479386,0.2158,TIMEOUT,0.003353,0.000543,240,False,False
ETHUSDT,3529,long,1878.92,0.40285714285715,11.273520000000001,0.006,1.0,0.6123,medium,0.15,0.13571626253379357,0.0751,TIMEOUT,0.003225,0.000671,240,False,False
ETHUSDT,3532,long,1879.36,0.4242857142857344,11.276159999999999,0.006,1.0,0.1336,low,0.15,0.09666411260572266,0.2666,TIMEOUT,0.003118,0.000905,240,False,False
ETHUSDT,3535,long,1879.03,0.3578571428571422,11.27418,0.006,1.0,0.2515,low,0.15,0.12595151044245106,0.2194,TIMEOUT,0.003294,0.000729,240,False,False
ETHUSDT,3547,short,1878.95,0.3807142857142805,11.2737,0.006,1.0,0.2889,low,0.15,0.09845924585540926,0.2044,TIMEOUT,0.000687,0.003592,240,False,False
ETHUSDT,3559,long,1879.81,0.37214285714282724,11.27886,0.006,1.0,0.6897,medium,0.15,0.056743323350063754,0.0441,TIMEOUT,0.003133,0.001144,240,False,False
ETHUSDT,3577,long,1880.11,0.561428571428613,11.28066,0.006,1.0,0.1722,low,0.15,0.030140080456298263,0.2511,TIMEOUT,0.002973,0.000266,240,False,False
ETHUSDT,3580,long,1880.88,0.5721428571428727,11.28528,0.006,1.0,0.3088,low,0.15,0.03544440191115006,0.1965,TIMEOUT,0.002563,0.000298,240,False,False
ETHUSDT,3601,short,1881.42,0.5000000000000487,11.28852,0.006,0.0,0.2667,low,0.15,0.31713634736884505,-0.5867,TIMEOUT,0.000585,0.002275,240,False,True
ETHUSDT,3610,long,1881.65,0.3450000000000273,11.289900000000001,0.006,1.0,0.8502,medium,0.15,0.19309294147865225,-0.0201,TIMEOUT,0.002152,0.000707,240,False,True
ETHUSDT,3625,short,1882.06,0.47785714285714675,11.29236,0.006,0.0,0.4325,medium,0.15,0.37370399101693774,-0.653,TIMEOUT,0.000925,0.001934,240,False,True
