pair,ts,net_frac,gross_frac,exit_type,tp_mult,hold_min,regime,k,ts_parsed,fold
BTCUSDT,2026-08-17 01:54:00+00:00,0.0005000000000000001,0.0019,BE_STOP,1.6,39.0,CHOP,1.6,,
BTCUSDT,2026-08-17 02:52:00+00:00,0.004600000000000001,0.006,TP,1.6,110.0,CHOP,1.6,,
BTCUSDT,2026-08-17 02:53:00+00:00,0.004600000000000001,0.006,TP,1.6,108.0,CHOP,1.6,,
BTCUSDT,2026-08-17 02:53:00+00:00,0.004600000000000001,0.006,TP,1.6,106.0,CHOP,1.6,,
BTCUSDT,2026-08-17 05:28:00+00:00,0.0005000000000000001,0.0019,BE_STOP,1.6,150.0,CHOP,1.6,,
SOLUSDT,2026-08-17 06:45:00+00:00,0.004600000000000001,0.006,TP,1.6,306.0,CHOP,1.6,,
NEARUSDT,2026-08-17 06:46:00+00:00,0.004600000000000001,0.006,TP,1.6,78.0,TREND,1.6,,
ETHUSDT,2026-08-17 07:01:00+00:00,0.0005000000000000001,0.0019,BE_STOP,1.6,245.0,TREND,1.6,,
BTCUSDT,2026-08-17 07:17:00+00:00,0.0005000000000000001,0.0019,BE_STOP,1.6,263.0,CHOP,1.6,,
BTCUSDT,2026-08-17 09:15:00+00:00,0.0005000000000000001,0.0019,BE_STOP,1.6,117.0,TREND,1.6,,
BTCUSDT,2026-08-17 13:02:00+00:00,0.0005000000000000001,0.0019,BE_STOP,1.6,226.0,CHOP,1.6,,
BTCUSDT,2026-08-17 15:28:00+00:00,0.004600000000000001,0.006,TP,1.6,519.0,CHOP,1.6,,
SOLUSDT,2026-08-17 16:20:00+00:00,0.0005000000000000001,0.0019,BE_STOP,1.6,559.0,TREND,1.6,,
BTCUSDT,2026-08-17 17:23:00+00:00,0.004600000000000001,0.006,TP,1.6,114.0,TREND,1.6,,
SOLUSDT,2026-08-17 17:39:00+00:00,0.0005000000000000001,0.0019,BE_STOP,1.6,79.0,CHOP,1.6,,
NEARUSDT,2026-08-17 17:46:00+00:00,-0.0264,-0.025,MAE_KILL,1.6,659.0,TREND,1.6,,
BTCUSDT,2026-08-17 18:23:00+00:00,0.004600000000000001,0.006,TP,1.6,44.0,TREND,1.6,,
BTCUSDT,2026-08-17 18:29:00+00:00,0.0005000000000000001,0.0019,BE_STOP,1.6,66.0,CHOP,1.6,,
BTCUSDT,2026-08-17 19:01:00+00:00,0.0005000000000000001,0.0019,BE_STOP,1.6,75.0,TREND,1.6,,
ETHUSDT,2026-08-18 02:30:00+00:00,0.004600000000000001,0.006,TP,1.6,447.0,CHOP,1.6,,
NEARUSDT,2026-08-18 02:49:00+00:00,0.0005000000000000001,0.0019,BE_STOP,1.6,19.0,CHOP,1.6,,
ETHUSDT,2026-08-18 03:36:00+00:00,0.0005000000000000001,0.0019,BE_STOP,1.6,1541.0,CHOP,1.6,,
NEARUSDT,2026-08-18 06:30:00+00:00,-0.0264,-0.025,MAE_KILL,1.6,174.0,CHOP,1.6,,
BTCUSDT,2026-08-18 14:26:00+00:00,0.004600000000000001,0.006,TP,1.6,1197.0,TREND,1.6,,
ETHUSDT,2026-08-18 14:26:00+00:00,0.004600000000000001,0.006,TP,1.6,475.0,CHOP,1.6,,
BTCUSDT,2026-08-18 14:27:00+00:00,0.004600000000000001,0.006,TP,1.6,1203.0,TREND,1.6,,
BTCUSDT,2026-08-18 22:01:00+00:00,-0.028554714242977803,-0.027154714242977804,MAX_AGE,1.6,2880.0,TREND,1.6,,
BTCUSDT,2026-08-18 22:05:00+00:00,-0.028503875914720034,-0.027103875914720035,MAX_AGE,1.6,2880.0,TREND,1.6,,
BTCUSDT,2026-08-18 22:07:00+00:00,-0.028417050923664595,-0.027017050923664597,MAX_AGE,1.6,2880.0,TREND,1.6,,
ETHUSDT,2026-08-19 00:03:00+00:00,0.0005000000000000001,0.0019,BE_STOP,1.6,118.0,CHOP,1.6,,
ETHUSDT,2026-08-19 00:03:00+00:00,0.0005000000000000001,0.0019,BE_STOP,1.6,116.0,CHOP,1.6,,
ETHUSDT,2026-08-19 02:26:00+00:00,0.0005000000000000001,0.0019,BE_STOP,1.6,140.0,CHOP,1.6,,
BTCUSDT,2026-08-19 05:53:00+00:00,0.004600000000000001,0.006,TP,1.6,345.0,CHOP,1.6,,
BTCUSDT,2026-08-19 06:09:00+00:00,0.004600000000000001,0.006,TP,1.6,487.0,CHOP,1.6,,
NEARUSDT,2026-08-19 06:48:00+00:00,0.004600000000000001,0.006,TP,1.6,55.0,TREND,1.6,,
NEARUSDT,2026-08-19 06:56:00+00:00,0.004600000000000001,0.006,TP,1.6,8.0,CHOP,1.6,,
BTCUSDT,2026-08-19 12:38:00+00:00,0.004600000000000001,0.006,TP,1.6,341.0,CHOP,1.6,,
BTCUSDT,2026-08-19 12:41:00+00:00,0.004600000000000001,0.006,TP,1.6,614.0,CHOP,1.6,,
ETHUSDT,2026-08-19 12:47:00+00:00,0.004600000000000001,0.006,TP,1.6,9.0,CHOP,1.6,,
BTCUSDT,2026-08-19 13:03:00+00:00,-0.0214630918801097,-0.020063091880109702,MAX_AGE,1.6,2880.0,CHOP,1.6,,
XRPUSDT,2026-08-19 13:20:00+00:00,0.004600000000000001,0.006,TP,1.6,33.0,CHOP,1.6,,
BTCUSDT,2026-08-19 13:31:00+00:00,0.004600000000000001,0.006,TP,1.6,1380.0,TREND,1.6,,
BTCUSDT,2026-08-19 13:31:00+00:00,0.004600000000000001,0.006,TP,1.6,1378.0,TREND,1.6,,
BTCUSDT,2026-08-19 13:34:00+00:00,0.0005000000000000001,0.0019,BE_STOP,1.6,1385.0,TREND,1.6,,
NEARUSDT,2026-08-19 13:44:00+00:00,0.0005000000000000001,0.0019,BE_STOP,1.6,23.0,CHOP,1.6,,
BTCUSDT,2026-08-19 14:10:00+00:00,0.004600000000000001,0.006,TP,1.6,25.0,CHOP,1.6,,
NEARUSDT,2026-08-19 14:14:00+00:00,0.0005000000000000001,0.0019,BE_STOP,1.6,92.0,CHOP,1.6,,
BTCUSDT,2026-08-19 14:17:00+00:00,0.004600000000000001,0.006,TP,1.6,44.0,TREND,1.6,,
SOLUSDT,2026-08-19 14:44:00+00:00,0.004600000000000001,0.006,TP,1.6,34.0,TREND,1.6,,
NEARUSDT,2026-08-19 14:47:00+00:00,0.0005000000000000001,0.0019,BE_STOP,1.6,33.0,CHOP,1.6,,
XRPUSDT,2026-08-19 14:52:00+00:00,0.004600000000000001,0.006,TP,1.6,77.0,TREND,1.6,,
XRPUSDT,2026-08-19 14:54:00+00:00,0.004600000000000001,0.006,TP,1.6,83.0,TREND,1.6,,
XRPUSDT,2026-08-19 14:54:00+00:00,0.004600000000000001,0.006,TP,1.6,7.0,TREND,1.6,,
BTCUSDT,2026-08-19 14:55:00+00:00,0.004600000000000001,0.006,TP,1.6,38.0,TREND,1.6,,
NEARUSDT,2026-08-19 14:55:00+00:00,0.004600000000000001,0.006,TP,1.6,11.0,TREND,1.6,,
NEARUSDT,2026-08-19 15:00:00+00:00,0.004600000000000001,0.006,TP,1.6,8.0,TREND,1.6,,
NEARUSDT,2026-08-19 15:02:00+00:00,0.0005000000000000001,0.0019,BE_STOP,1.6,7.0,TREND,1.6,,
ETHUSDT,2026-08-19 15:04:00+00:00,0.004600000000000001,0.006,TP,1.6,7.0,TREND,1.6,,
BTCUSDT,2026-08-19 15:05:00+00:00,0.004600000000000001,0.006,TP,1.6,6.0,TREND,1.6,,
BTCUSDT,2026-08-19 15:05:00+00:00,0.004600000000000001,0.006,TP,1.6,4.0,TREND,1.6,,
SOLUSDT,2026-08-19 15:05:00+00:00,0.004879527976102221,0.00627952797610222,TP,1.6,2.0,TREND,1.6,,
BTCUSDT,2026-08-19 15:14:00+00:00,-0.0414,-0.04,MAE_KILL,1.6,2185.0,CHOP,1.6,,
BTCUSDT,2026-08-19 15:14:00+00:00,-0.0414,-0.04,MAE_KILL,1.6,544.0,TREND,1.6,,
ETHUSDT,2026-08-19 15:18:00+00:00,0.0005000000000000001,0.0019,BE_STOP,1.6,4.0,TREND,1.6,,
BTCUSDT,2026-08-19 15:22:00+00:00,0.004600000000000001,0.006,TP,1.6,15.0,TREND,1.6,,
BTCUSDT,2026-08-19 15:23:00+00:00,0.004600000000000001,0.006,TP,1.6,13.0,TREND,1.6,,
ETHUSDT,2026-08-19 15:23:00+00:00,0.005121412963327725,0.006521412963327725,TP,1.6,5.0,TREND,1.6,,
NEARUSDT,2026-08-19 15:23:00+00:00,0.004600000000000001,0.006,TP,1.6,2.0,TREND,1.6,,
ETHUSDT,2026-08-19 15:24:00+00:00,0.005419711528242839,0.006819711528242838,TP,1.6,8.0,TREND,1.6,,
NEARUSDT,2026-08-19 15:26:00+00:00,-0.0264,-0.025,MAE_KILL,1.6,143.0,CHOP,1.6,,
BTCUSDT,2026-08-19 15:26:00+00:00,0.004600000000000001,0.006,TP,1.6,1.0,TREND,1.6,,
BTCUSDT,2026-08-19 15:35:00+00:00,0.00977212520505511,0.01117212520505511,TP,1.6,5.0,TREND,1.6,,
NEARUSDT,2026-08-19 15:40:00+00:00,0.006009111434876377,0.007409111434876377,TP,1.6,8.0,TREND,1.6,,
NEARUSDT,2026-08-19 15:43:00+00:00,0.0005000000000000001,0.0019,BE_STOP,1.6,4.0,TREND,1.6,,
BTCUSDT,2026-08-19 15:54:00+00:00,0.0005000000000000001,0.0019,BE_STOP,1.6,19.0,TREND,1.6,,
XRPUSDT,2026-08-19 16:00:00+00:00,0.0005000000000000001,0.0019,BE_STOP,1.6,6.0,TREND,1.6,,
ETHUSDT,2026-08-19 16:01:00+00:00,0.004600000000000001,0.006,TP,1.6,12.0,TREND,1.6,,
BTCUSDT,2026-08-19 16:05:00+00:00,0.0047900307363356815,0.006190030736335681,TP,1.6,20.0,TREND,1.6,,
BTCUSDT,2026-08-19 16:05:00+00:00,0.004600000000000001,0.006,TP,1.6,18.0,TREND,1.6,,
BTCUSDT,2026-08-19 16:09:00+00:00,0.0005000000000000001,0.0019,BE_STOP,1.6,7.0,TREND,1.6,,
BTCUSDT,2026-08-19 16:11:00+00:00,0.0005000000000000001,0.0019,BE_STOP,1.6,28.0,TREND,1.6,,
