pair,ts,net_frac,gross_frac,exit_type,tp_mult,hold_min,regime,k,ts_parsed,fold
BTCUSDT,2026-08-23 21:16:00+00:00,0.004600000000000001,0.006,TP,2.0,233.0,CHOP,2.0,2026-08-23 21:16:00+00:00,fold2
BTCUSDT,2026-08-23 21:22:00+00:00,0.004600000000000001,0.006,TP,2.0,482.0,TREND,2.0,2026-08-23 21:22:00+00:00,fold2
ETHUSDT,2026-08-23 21:25:00+00:00,0.0005000000000000001,0.0019,BE_STOP,2.0,429.0,TREND,2.0,2026-08-23 21:25:00+00:00,fold2
ETHUSDT,2026-08-23 21:30:00+00:00,0.0062647103814553375,0.007664710381455337,TP,2.0,486.0,CHOP,2.0,2026-08-23 21:30:00+00:00,fold2
BTCUSDT,2026-08-23 22:10:00+00:00,-0.01262776486572086,-0.011227764865720859,MAX_AGE,2.0,2880.0,CHOP,2.0,2026-08-23 22:10:00+00:00,fold2
ETHUSDT,2026-08-23 23:03:00+00:00,0.004600000000000001,0.006,TP,2.0,53.0,CHOP,2.0,2026-08-23 23:03:00+00:00,fold2
ETHUSDT,2026-08-23 23:07:00+00:00,0.0005000000000000001,0.0019,BE_STOP,2.0,3.0,CHOP,2.0,2026-08-23 23:07:00+00:00,fold2
BTCUSDT,2026-08-24 00:49:00+00:00,0.0005000000000000001,0.0019,BE_STOP,2.0,102.0,CHOP,2.0,2026-08-24 00:49:00+00:00,fold2
NEARUSDT,2026-08-24 00:52:00+00:00,0.0005000000000000001,0.0019,BE_STOP,2.0,3.0,CHOP,2.0,2026-08-24 00:52:00+00:00,fold2
XRPUSDT,2026-08-24 01:15:00+00:00,0.004882692473200485,0.006282692473200484,TP,2.0,23.0,CHOP,2.0,2026-08-24 01:15:00+00:00,fold2
BTCUSDT,2026-08-24 01:33:00+00:00,0.0005000000000000001,0.0019,BE_STOP,2.0,17.0,CHOP,2.0,2026-08-24 01:33:00+00:00,fold2
ETHUSDT,2026-08-24 01:51:00+00:00,0.004600000000000001,0.006,TP,2.0,18.0,CHOP,2.0,2026-08-24 01:51:00+00:00,fold2
BTCUSDT,2026-08-24 02:05:00+00:00,0.0005000000000000001,0.0019,BE_STOP,2.0,13.0,CHOP,2.0,2026-08-24 02:05:00+00:00,fold2
NEARUSDT,2026-08-24 02:37:00+00:00,-0.0264,-0.025,MAE_KILL,2.0,32.0,CHOP,2.0,2026-08-24 02:37:00+00:00,fold2
BTCUSDT,2026-08-24 03:33:00+00:00,-0.021503773716845965,-0.020103773716845966,MAX_AGE,2.0,2880.0,CHOP,2.0,2026-08-24 03:33:00+00:00,fold2
XRPUSDT,2026-08-24 03:38:00+00:00,0.0005000000000000001,0.0019,BE_STOP,2.0,5.0,CHOP,2.0,2026-08-24 03:38:00+00:00,fold2
BTCUSDT,2026-08-24 05:04:00+00:00,0.0005000000000000001,0.0019,BE_STOP,2.0,86.0,CHOP,2.0,2026-08-24 05:04:00+00:00,fold2
SOLUSDT,2026-08-24 05:15:00+00:00,0.004600000000000001,0.006,TP,2.0,11.0,CHOP,2.0,2026-08-24 05:15:00+00:00,fold2
BTCUSDT,2026-08-24 06:33:00+00:00,0.0005000000000000001,0.0019,BE_STOP,2.0,78.0,CHOP,2.0,2026-08-24 06:33:00+00:00,fold2
XRPUSDT,2026-08-24 06:49:00+00:00,0.0005000000000000001,0.0019,BE_STOP,2.0,16.0,CHOP,2.0,2026-08-24 06:49:00+00:00,fold2
BTCUSDT,2026-08-24 07:21:00+00:00,0.0005000000000000001,0.0019,BE_STOP,2.0,284.0,CHOP,2.0,2026-08-24 07:21:00+00:00,fold2
BTCUSDT,2026-08-24 07:21:00+00:00,0.0005000000000000001,0.0019,BE_STOP,2.0,31.0,CHOP,2.0,2026-08-24 07:21:00+00:00,fold2
BTCUSDT,2026-08-24 10:41:00+00:00,0.0005000000000000001,0.0019,BE_STOP,2.0,197.0,CHOP,2.0,2026-08-24 10:41:00+00:00,fold2
BTCUSDT,2026-08-24 10:43:00+00:00,0.0005000000000000001,0.0019,BE_STOP,2.0,202.0,CHOP,2.0,2026-08-24 10:43:00+00:00,fold2
ETHUSDT,2026-08-24 11:07:00+00:00,0.0005000000000000001,0.0019,BE_STOP,2.0,25.0,CHOP,2.0,2026-08-24 11:07:00+00:00,fold2
BTCUSDT,2026-08-24 11:07:00+00:00,0.0005000000000000001,0.0019,BE_STOP,2.0,23.0,CHOP,2.0,2026-08-24 11:07:00+00:00,fold2
BTCUSDT,2026-08-24 11:36:00+00:00,0.004600000000000001,0.006,TP,2.0,859.0,CHOP,2.0,2026-08-24 11:36:00+00:00,fold2
BTCUSDT,2026-08-24 11:36:00+00:00,0.004600000000000001,0.006,TP,2.0,851.0,CHOP,2.0,2026-08-24 11:36:00+00:00,fold2
BTCUSDT,2026-08-24 11:37:00+00:00,0.004600000000000001,0.006,TP,2.0,855.0,CHOP,2.0,2026-08-24 11:37:00+00:00,fold2
BTCUSDT,2026-08-24 11:40:00+00:00,0.004600000000000001,0.006,TP,2.0,850.0,TREND,2.0,2026-08-24 11:40:00+00:00,fold2
NEARUSDT,2026-08-24 11:44:00+00:00,0.004600000000000001,0.006,TP,2.0,3.0,CHOP,2.0,2026-08-24 11:44:00+00:00,fold2
SOLUSDT,2026-08-24 12:17:00+00:00,0.0005000000000000001,0.0019,BE_STOP,2.0,70.0,CHOP,2.0,2026-08-24 12:17:00+00:00,fold2
SOLUSDT,2026-08-24 12:17:00+00:00,0.0005000000000000001,0.0019,BE_STOP,2.0,68.0,CHOP,2.0,2026-08-24 12:17:00+00:00,fold2
BTCUSDT,2026-08-24 12:34:00+00:00,0.0005000000000000001,0.0019,BE_STOP,2.0,51.0,CHOP,2.0,2026-08-24 12:34:00+00:00,fold2
BTCUSDT,2026-08-24 12:34:00+00:00,0.0005000000000000001,0.0019,BE_STOP,2.0,49.0,CHOP,2.0,2026-08-24 12:34:00+00:00,fold2
BTCUSDT,2026-08-24 12:41:00+00:00,0.004600000000000001,0.006,TP,2.0,54.0,CHOP,2.0,2026-08-24 12:41:00+00:00,fold2
BTCUSDT,2026-08-24 12:42:00+00:00,0.004600000000000001,0.006,TP,2.0,64.0,CHOP,2.0,2026-08-24 12:42:00+00:00,fold2
BTCUSDT,2026-08-24 12:50:00+00:00,0.004600000000000001,0.006,TP,2.0,14.0,CHOP,2.0,2026-08-24 12:50:00+00:00,fold2
BTCUSDT,2026-08-24 12:51:00+00:00,-0.0414,-0.04,MAE_KILL,2.0,1892.0,TREND,2.0,2026-08-24 12:51:00+00:00,fold2
BTCUSDT,2026-08-24 12:51:00+00:00,0.004600000000000001,0.006,TP,2.0,8.0,TREND,2.0,2026-08-24 12:51:00+00:00,fold2
ETHUSDT,2026-08-24 12:51:00+00:00,0.004600000000000001,0.006,TP,2.0,6.0,CHOP,2.0,2026-08-24 12:51:00+00:00,fold2
SOLUSDT,2026-08-24 12:53:00+00:00,0.0005000000000000001,0.0019,BE_STOP,2.0,3.0,CHOP,2.0,2026-08-24 12:53:00+00:00,fold2
NEARUSDT,2026-08-24 13:01:00+00:00,0.0005000000000000001,0.0019,BE_STOP,2.0,23.0,CHOP,2.0,2026-08-24 13:01:00+00:00,fold2
BTCUSDT,2026-08-24 13:01:00+00:00,0.0005000000000000001,0.0019,BE_STOP,2.0,9.0,TREND,2.0,2026-08-24 13:01:00+00:00,fold2
BTCUSDT,2026-08-24 13:15:00+00:00,0.0005000000000000001,0.0019,BE_STOP,2.0,17.0,TREND,2.0,2026-08-24 13:15:00+00:00,fold2
BTCUSDT,2026-08-24 13:16:00+00:00,0.0005000000000000001,0.0019,BE_STOP,2.0,16.0,TREND,2.0,2026-08-24 13:16:00+00:00,fold2
BTCUSDT,2026-08-24 13:16:00+00:00,0.0005000000000000001,0.0019,BE_STOP,2.0,14.0,TREND,2.0,2026-08-24 13:16:00+00:00,fold2
BTCUSDT,2026-08-24 13:16:00+00:00,0.0005000000000000001,0.0019,BE_STOP,2.0,12.0,TREND,2.0,2026-08-24 13:16:00+00:00,fold2
BTCUSDT,2026-08-24 13:33:00+00:00,0.004600000000000001,0.006,TP,2.0,12.0,TREND,2.0,2026-08-24 13:33:00+00:00,fold2
BTCUSDT,2026-08-24 13:40:00+00:00,0.004600000000000001,0.006,TP,2.0,23.0,TREND,2.0,2026-08-24 13:40:00+00:00,fold2
BTCUSDT,2026-08-24 13:40:00+00:00,0.004600000000000001,0.006,TP,2.0,21.0,TREND,2.0,2026-08-24 13:40:00+00:00,fold2
BTCUSDT,2026-08-24 13:40:00+00:00,0.004600000000000001,0.006,TP,2.0,16.0,TREND,2.0,2026-08-24 13:40:00+00:00,fold2
BTCUSDT,2026-08-24 13:42:00+00:00,0.004600000000000001,0.006,TP,2.0,9.0,TREND,2.0,2026-08-24 13:42:00+00:00,fold2
BTCUSDT,2026-08-24 13:45:00+00:00,0.004600000000000001,0.006,TP,2.0,4.0,TREND,2.0,2026-08-24 13:45:00+00:00,fold2
SOLUSDT,2026-08-24 13:46:00+00:00,0.004600000000000001,0.006,TP,2.0,87.0,CHOP,2.0,2026-08-24 13:46:00+00:00,fold2
SOLUSDT,2026-08-24 13:47:00+00:00,0.0005000000000000001,0.0019,BE_STOP,2.0,90.0,CHOP,2.0,2026-08-24 13:47:00+00:00,fold2
BTCUSDT,2026-08-24 13:48:00+00:00,0.0005000000000000001,0.0019,BE_STOP,2.0,5.0,CHOP,2.0,2026-08-24 13:48:00+00:00,fold2
BTCUSDT,2026-08-24 13:54:00+00:00,0.0005000000000000001,0.0019,BE_STOP,2.0,6.0,CHOP,2.0,2026-08-24 13:54:00+00:00,fold2
BTCUSDT,2026-08-24 13:55:00+00:00,0.0005000000000000001,0.0019,BE_STOP,2.0,5.0,CHOP,2.0,2026-08-24 13:55:00+00:00,fold2
BTCUSDT,2026-08-24 14:15:00+00:00,0.004600000000000001,0.006,TP,2.0,13.0,CHOP,2.0,2026-08-24 14:15:00+00:00,fold2
BTCUSDT,2026-08-24 14:23:00+00:00,-0.0414,-0.04,MAE_KILL,2.0,1728.0,CHOP,2.0,2026-08-24 14:23:00+00:00,fold2
ETHUSDT,2026-08-24 14:23:00+00:00,0.004600000000000001,0.006,TP,2.0,7.0,CHOP,2.0,2026-08-24 14:23:00+00:00,fold2
NEARUSDT,2026-08-24 14:27:00+00:00,0.005750072150072133,0.007150072150072132,TP,2.0,3.0,CHOP,2.0,2026-08-24 14:27:00+00:00,fold2
BTCUSDT,2026-08-24 14:32:00+00:00,0.004600000000000001,0.006,TP,2.0,5.0,CHOP,2.0,2026-08-24 14:32:00+00:00,fold2
NEARUSDT,2026-08-24 14:33:00+00:00,-0.0264,-0.025,MAE_KILL,2.0,33.0,CHOP,2.0,2026-08-24 14:33:00+00:00,fold2
SOLUSDT,2026-08-24 14:33:00+00:00,0.004600000000000001,0.006,TP,2.0,4.0,CHOP,2.0,2026-08-24 14:33:00+00:00,fold2
SOLUSDT,2026-08-24 14:43:00+00:00,0.0005000000000000001,0.0019,BE_STOP,2.0,107.0,CHOP,2.0,2026-08-24 14:43:00+00:00,fold2
SOLUSDT,2026-08-24 14:43:00+00:00,0.0005000000000000001,0.0019,BE_STOP,2.0,6.0,CHOP,2.0,2026-08-24 14:43:00+00:00,fold2
BTCUSDT,2026-08-24 14:48:00+00:00,0.0005000000000000001,0.0019,BE_STOP,2.0,16.0,CHOP,2.0,2026-08-24 14:48:00+00:00,fold2
SOLUSDT,2026-08-24 14:50:00+00:00,0.0005000000000000001,0.0019,BE_STOP,2.0,7.0,CHOP,2.0,2026-08-24 14:50:00+00:00,fold2
SOLUSDT,2026-08-24 15:22:00+00:00,0.004600000000000001,0.006,TP,2.0,34.0,CHOP,2.0,2026-08-24 15:22:00+00:00,fold2
ETHUSDT,2026-08-24 15:30:00+00:00,0.0005000000000000001,0.0019,BE_STOP,2.0,45.0,CHOP,2.0,2026-08-24 15:30:00+00:00,fold2
BTCUSDT,2026-08-24 15:38:00+00:00,0.0005000000000000001,0.0019,BE_STOP,2.0,64.0,CHOP,2.0,2026-08-24 15:38:00+00:00,fold2
ETHUSDT,2026-08-24 15:43:00+00:00,0.004600000000000001,0.006,TP,2.0,52.0,CHOP,2.0,2026-08-24 15:43:00+00:00,fold2
ETHUSDT,2026-08-24 15:43:00+00:00,0.004600000000000001,0.006,TP,2.0,4.0,CHOP,2.0,2026-08-24 15:43:00+00:00,fold2
BTCUSDT,2026-08-24 15:57:00+00:00,0.004600000000000001,0.006,TP,2.0,13.0,CHOP,2.0,2026-08-24 15:57:00+00:00,fold2
BTCUSDT,2026-08-24 15:57:00+00:00,0.004600000000000001,0.006,TP,2.0,11.0,CHOP,2.0,2026-08-24 15:57:00+00:00,fold2
BTCUSDT,2026-08-24 16:56:00+00:00,0.0005000000000000001,0.0019,BE_STOP,2.0,56.0,CHOP,2.0,2026-08-24 16:56:00+00:00,fold2
BTCUSDT,2026-08-24 17:02:00+00:00,0.004600000000000001,0.006,TP,2.0,6.0,CHOP,2.0,2026-08-24 17:02:00+00:00,fold2
BTCUSDT,2026-08-24 17:05:00+00:00,0.0005000000000000001,0.0019,BE_STOP,2.0,67.0,CHOP,2.0,2026-08-24 17:05:00+00:00,fold2
BTCUSDT,2026-08-24 17:22:00+00:00,0.004600000000000001,0.006,TP,2.0,17.0,CHOP,2.0,2026-08-24 17:22:00+00:00,fold2
BTCUSDT,2026-08-24 17:27:00+00:00,0.0005000000000000001,0.0019,BE_STOP,2.0,24.0,CHOP,2.0,2026-08-24 17:27:00+00:00,fold2
BTCUSDT,2026-08-24 17:37:00+00:00,0.0005000000000000001,0.0019,BE_STOP,2.0,10.0,CHOP,2.0,2026-08-24 17:37:00+00:00,fold2
NEARUSDT,2026-08-24 19:21:00+00:00,0.0005000000000000001,0.0019,BE_STOP,2.0,104.0,CHOP,2.0,2026-08-24 19:21:00+00:00,fold2
SOLUSDT,2026-08-24 22:37:00+00:00,-0.0414,-0.04,MAE_KILL,2.0,524.0,CHOP,2.0,2026-08-24 22:37:00+00:00,fold2
SOLUSDT,2026-08-24 23:43:00+00:00,-0.0414,-0.04,MAE_KILL,2.0,586.0,CHOP,2.0,2026-08-24 23:43:00+00:00,fold2
NEARUSDT,2026-08-25 00:00:00+00:00,0.004600000000000001,0.006,TP,2.0,17.0,CHOP,2.0,2026-08-25 00:00:00+00:00,fold2
BTCUSDT,2026-08-25 00:44:00+00:00,0.004600000000000001,0.006,TP,2.0,126.0,CHOP,2.0,2026-08-25 00:44:00+00:00,fold2
BTCUSDT,2026-08-25 00:45:00+00:00,0.004600000000000001,0.006,TP,2.0,45.0,CHOP,2.0,2026-08-25 00:45:00+00:00,fold2
NEARUSDT,2026-08-25 00:47:00+00:00,0.004600000000000001,0.006,TP,2.0,3.0,CHOP,2.0,2026-08-25 00:47:00+00:00,fold2
SOLUSDT,2026-08-25 01:33:00+00:00,0.0005000000000000001,0.0019,BE_STOP,2.0,46.0,TREND,2.0,2026-08-25 01:33:00+00:00,fold2
ETHUSDT,2026-08-25 01:33:00+00:00,0.0005000000000000001,0.0019,BE_STOP,2.0,44.0,CHOP,2.0,2026-08-25 01:33:00+00:00,fold2
BTCUSDT,2026-08-25 02:17:00+00:00,0.004600000000000001,0.006,TP,2.0,654.0,CHOP,2.0,2026-08-25 02:17:00+00:00,fold2
BTCUSDT,2026-08-25 02:17:00+00:00,0.004600000000000001,0.006,TP,2.0,647.0,CHOP,2.0,2026-08-25 02:17:00+00:00,fold2
ETHUSDT,2026-08-25 02:17:00+00:00,0.004600000000000001,0.006,TP,2.0,44.0,TREND,2.0,2026-08-25 02:17:00+00:00,fold2
BTCUSDT,2026-08-25 02:33:00+00:00,0.0005000000000000001,0.0019,BE_STOP,2.0,12.0,CHOP,2.0,2026-08-25 02:33:00+00:00,fold2
BTCUSDT,2026-08-25 02:41:00+00:00,0.004600000000000001,0.006,TP,2.0,18.0,CHOP,2.0,2026-08-25 02:41:00+00:00,fold2
BTCUSDT,2026-08-25 02:44:00+00:00,0.0005000000000000001,0.0019,BE_STOP,2.0,25.0,CHOP,2.0,2026-08-25 02:44:00+00:00,fold2
ETHUSDT,2026-08-25 02:44:00+00:00,0.0005000000000000001,0.0019,BE_STOP,2.0,11.0,CHOP,2.0,2026-08-25 02:44:00+00:00,fold2
BTCUSDT,2026-08-25 03:52:00+00:00,0.0005000000000000001,0.0019,BE_STOP,2.0,57.0,TREND,2.0,2026-08-25 03:52:00+00:00,fold2
BTCUSDT,2026-08-25 04:00:00+00:00,0.0005000000000000001,0.0019,BE_STOP,2.0,68.0,TREND,2.0,2026-08-25 04:00:00+00:00,fold2
BTCUSDT,2026-08-25 04:03:00+00:00,0.0005000000000000001,0.0019,BE_STOP,2.0,11.0,TREND,2.0,2026-08-25 04:03:00+00:00,fold2
BTCUSDT,2026-08-25 04:09:00+00:00,0.0005000000000000001,0.0019,BE_STOP,2.0,9.0,CHOP,2.0,2026-08-25 04:09:00+00:00,fold2
BTCUSDT,2026-08-25 04:33:00+00:00,0.0005000000000000001,0.0019,BE_STOP,2.0,24.0,CHOP,2.0,2026-08-25 04:33:00+00:00,fold2
SOLUSDT,2026-08-25 05:00:00+00:00,0.0005000000000000001,0.0019,BE_STOP,2.0,25.0,CHOP,2.0,2026-08-25 05:00:00+00:00,fold2
BTCUSDT,2026-08-25 05:32:00+00:00,0.004600000000000001,0.006,TP,2.0,32.0,CHOP,2.0,2026-08-25 05:32:00+00:00,fold2
NEARUSDT,2026-08-25 06:41:00+00:00,0.004600000000000001,0.006,TP,2.0,158.0,CHOP,2.0,2026-08-25 06:41:00+00:00,fold2
BTCUSDT,2026-08-25 07:49:00+00:00,0.004600000000000001,0.006,TP,2.0,68.0,CHOP,2.0,2026-08-25 07:49:00+00:00,fold2
BTCUSDT,2026-08-25 07:53:00+00:00,0.0005000000000000001,0.0019,BE_STOP,2.0,377.0,TREND,2.0,2026-08-25 07:53:00+00:00,fold2
BTCUSDT,2026-08-25 09:51:00+00:00,0.004600000000000001,0.006,TP,2.0,117.0,CHOP,2.0,2026-08-25 09:51:00+00:00,fold2
BTCUSDT,2026-08-25 09:52:00+00:00,0.004600000000000001,0.006,TP,2.0,120.0,CHOP,2.0,2026-08-25 09:52:00+00:00,fold2
SOLUSDT,2026-08-25 12:03:00+00:00,-0.0414,-0.04,MAE_KILL,2.0,391.0,CHOP,2.0,2026-08-25 12:03:00+00:00,fold2
BTCUSDT,2026-08-25 12:07:00+00:00,0.004600000000000001,0.006,TP,2.0,131.0,CHOP,2.0,2026-08-25 12:07:00+00:00,fold2
BTCUSDT,2026-08-25 12:12:00+00:00,0.0005000000000000001,0.0019,BE_STOP,2.0,138.0,CHOP,2.0,2026-08-25 12:12:00+00:00,fold2
BTCUSDT,2026-08-25 12:12:00+00:00,0.0005000000000000001,0.0019,BE_STOP,2.0,9.0,CHOP,2.0,2026-08-25 12:12:00+00:00,fold2
ETHUSDT,2026-08-25 12:24:00+00:00,0.0005000000000000001,0.0019,BE_STOP,2.0,17.0,CHOP,2.0,2026-08-25 12:24:00+00:00,fold2
BTCUSDT,2026-08-25 12:28:00+00:00,0.0005000000000000001,0.0019,BE_STOP,2.0,4.0,TREND,2.0,2026-08-25 12:28:00+00:00,fold2
NEARUSDT,2026-08-25 13:02:00+00:00,0.0005000000000000001,0.0019,BE_STOP,2.0,44.0,CHOP,2.0,2026-08-25 13:02:00+00:00,fold2
BTCUSDT,2026-08-25 13:24:00+00:00,0.0005000000000000001,0.0019,BE_STOP,2.0,56.0,TREND,2.0,2026-08-25 13:24:00+00:00,fold2
BTCUSDT,2026-08-25 13:51:00+00:00,0.004600000000000001,0.006,TP,2.0,1228.0,CHOP,2.0,2026-08-25 13:51:00+00:00,fold2
BTCUSDT,2026-08-25 13:51:00+00:00,0.004600000000000001,0.006,TP,2.0,1110.0,CHOP,2.0,2026-08-25 13:51:00+00:00,fold2
BTCUSDT,2026-08-25 13:51:00+00:00,0.004600000000000001,0.006,TP,2.0,27.0,TREND,2.0,2026-08-25 13:51:00+00:00,fold2
BTCUSDT,2026-08-25 13:54:00+00:00,0.0005000000000000001,0.0019,BE_STOP,2.0,1439.0,CHOP,2.0,2026-08-25 13:54:00+00:00,fold2
NEARUSDT,2026-08-25 14:06:00+00:00,0.006841325217104136,0.008241325217104136,TP,2.0,6.0,CHOP,2.0,2026-08-25 14:06:00+00:00,fold2
BTCUSDT,2026-08-25 14:25:00+00:00,0.004600000000000001,0.006,TP,2.0,19.0,TREND,2.0,2026-08-25 14:25:00+00:00,fold2
BTCUSDT,2026-08-25 14:35:00+00:00,0.0005000000000000001,0.0019,BE_STOP,2.0,10.0,CHOP,2.0,2026-08-25 14:35:00+00:00,fold2
ETHUSDT,2026-08-25 14:39:00+00:00,0.0005000000000000001,0.0019,BE_STOP,2.0,97.0,CHOP,2.0,2026-08-25 14:39:00+00:00,fold2
SOLUSDT,2026-08-25 14:59:00+00:00,0.0005000000000000001,0.0019,BE_STOP,2.0,20.0,CHOP,2.0,2026-08-25 14:59:00+00:00,fold2
NEARUSDT,2026-08-25 15:07:00+00:00,0.0005000000000000001,0.0019,BE_STOP,2.0,8.0,CHOP,2.0,2026-08-25 15:07:00+00:00,fold2
BTCUSDT,2026-08-25 15:48:00+00:00,0.0005000000000000001,0.0019,BE_STOP,2.0,73.0,CHOP,2.0,2026-08-25 15:48:00+00:00,fold2
BTCUSDT,2026-08-25 16:08:00+00:00,0.0005000000000000001,0.0019,BE_STOP,2.0,61.0,CHOP,2.0,2026-08-25 16:08:00+00:00,fold2
SOLUSDT,2026-08-25 17:18:00+00:00,0.0005000000000000001,0.0019,BE_STOP,2.0,89.0,CHOP,2.0,2026-08-25 17:18:00+00:00,fold2
NEARUSDT,2026-08-25 17:32:00+00:00,0.0005000000000000001,0.0019,BE_STOP,2.0,14.0,CHOP,2.0,2026-08-25 17:32:00+00:00,fold2
XRPUSDT,2026-08-25 18:27:00+00:00,0.0005000000000000001,0.0019,BE_STOP,2.0,139.0,CHOP,2.0,2026-08-25 18:27:00+00:00,fold2
ETHUSDT,2026-08-25 18:31:00+00:00,0.0005000000000000001,0.0019,BE_STOP,2.0,57.0,CHOP,2.0,2026-08-25 18:31:00+00:00,fold2
BTCUSDT,2026-08-25 20:51:00+00:00,0.0005000000000000001,0.0019,BE_STOP,2.0,416.0,CHOP,2.0,2026-08-25 20:51:00+00:00,fold2
SOLUSDT,2026-08-25 21:07:00+00:00,0.005840518579276917,0.007240518579276916,TP,2.0,429.0,TREND,2.0,2026-08-25 21:07:00+00:00,fold2
ETHUSDT,2026-08-25 21:07:00+00:00,0.004600000000000001,0.006,TP,2.0,15.0,CHOP,2.0,2026-08-25 21:07:00+00:00,fold2
BTCUSDT,2026-08-25 21:08:00+00:00,-0.0414,-0.04,MAE_KILL,2.0,1106.0,TREND,2.0,2026-08-25 21:08:00+00:00,fold2
XRPUSDT,2026-08-25 21:08:00+00:00,-0.0414,-0.04,MAE_KILL,2.0,532.0,TREND,2.0,2026-08-25 21:08:00+00:00,fold2
BTCUSDT,2026-08-25 21:11:00+00:00,0.0005000000000000001,0.0019,BE_STOP,2.0,1885.0,CHOP,2.0,2026-08-25 21:11:00+00:00,fold2
BTCUSDT,2026-08-25 21:13:00+00:00,0.0005000000000000001,0.0019,BE_STOP,2.0,440.0,CHOP,2.0,2026-08-25 21:13:00+00:00,fold2
ETHUSDT,2026-08-25 21:26:00+00:00,0.0005000000000000001,0.0019,BE_STOP,2.0,10.0,TREND,2.0,2026-08-25 21:26:00+00:00,fold2
XRPUSDT,2026-08-25 21:29:00+00:00,0.0005000000000000001,0.0019,BE_STOP,2.0,11.0,CHOP,2.0,2026-08-25 21:29:00+00:00,fold2
BTCUSDT,2026-08-25 22:08:00+00:00,0.004600000000000001,0.006,TP,2.0,42.0,TREND,2.0,2026-08-25 22:08:00+00:00,fold2
BTCUSDT,2026-08-25 22:08:00+00:00,0.004600000000000001,0.006,TP,2.0,37.0,CHOP,2.0,2026-08-25 22:08:00+00:00,fold2
ETHUSDT,2026-08-25 23:10:00+00:00,0.0005000000000000001,0.0019,BE_STOP,2.0,62.0,CHOP,2.0,2026-08-25 23:10:00+00:00,fold2
BTCUSDT,2026-08-26 00:09:00+00:00,0.004600000000000001,0.006,TP,2.0,58.0,CHOP,2.0,2026-08-26 00:09:00+00:00,fold2
BTCUSDT,2026-08-26 03:07:00+00:00,0.0005000000000000001,0.0019,BE_STOP,2.0,295.0,CHOP,2.0,2026-08-26 03:07:00+00:00,fold2
BTCUSDT,2026-08-26 05:24:00+00:00,0.0005000000000000001,0.0019,BE_STOP,2.0,137.0,CHOP,2.0,2026-08-26 05:24:00+00:00,fold2
SOLUSDT,2026-08-26 10:16:00+00:00,0.0005000000000000001,0.0019,BE_STOP,2.0,784.0,CHOP,2.0,2026-08-26 10:16:00+00:00,fold2
ETHUSDT,2026-08-26 10:39:00+00:00,0.004600000000000001,0.006,TP,2.0,21.0,CHOP,2.0,2026-08-26 10:39:00+00:00,fold2
BTCUSDT,2026-08-26 15:04:00+00:00,0.004600000000000001,0.006,TP,2.0,1074.0,TREND,2.0,2026-08-26 15:04:00+00:00,fold2
BTCUSDT,2026-08-26 15:10:00+00:00,0.0005000000000000001,0.0019,BE_STOP,2.0,1082.0,TREND,2.0,2026-08-26 15:10:00+00:00,fold2
SOLUSDT,2026-08-26 22:15:00+00:00,0.004600000000000001,0.006,TP,2.0,1668.0,CHOP,2.0,2026-08-26 22:15:00+00:00,fold2
SOLUSDT,2026-08-26 22:15:00+00:00,0.004600000000000001,0.006,TP,2.0,1664.0,CHOP,2.0,2026-08-26 22:15:00+00:00,fold2
BTCUSDT,2026-08-26 22:30:00+00:00,0.0005000000000000001,0.0019,BE_STOP,2.0,710.0,CHOP,2.0,2026-08-26 22:30:00+00:00,fold2
SOLUSDT,2026-08-26 23:06:00+00:00,0.0005000000000000001,0.0019,BE_STOP,2.0,36.0,TREND,2.0,2026-08-26 23:06:00+00:00,fold2
BTCUSDT,2026-08-26 23:46:00+00:00,0.004600000000000001,0.006,TP,2.0,40.0,CHOP,2.0,2026-08-26 23:46:00+00:00,fold2
BTCUSDT,2026-08-27 00:04:00+00:00,0.0005000000000000001,0.0019,BE_STOP,2.0,107.0,CHOP,2.0,2026-08-27 00:04:00+00:00,fold2
BTCUSDT,2026-08-27 01:25:00+00:00,0.0005000000000000001,0.0019,BE_STOP,2.0,80.0,CHOP,2.0,2026-08-27 01:25:00+00:00,fold2
SOLUSDT,2026-08-27 01:29:00+00:00,0.004600000000000001,0.006,TP,2.0,4.0,TREND,2.0,2026-08-27 01:29:00+00:00,fold2
NEARUSDT,2026-08-27 04:36:00+00:00,-0.0264,-0.025,MAE_KILL,2.0,290.0,TREND,2.0,2026-08-27 04:36:00+00:00,fold2
BTCUSDT,2026-08-27 08:04:00+00:00,0.004600000000000001,0.006,TP,2.0,1599.0,CHOP,2.0,2026-08-27 08:04:00+00:00,fold2
ETHUSDT,2026-08-27 08:04:00+00:00,0.004600000000000001,0.006,TP,2.0,395.0,CHOP,2.0,2026-08-27 08:04:00+00:00,fold2
ETHUSDT,2026-08-27 08:05:00+00:00,0.0005000000000000001,0.0019,BE_STOP,2.0,586.0,TREND,2.0,2026-08-27 08:05:00+00:00,fold2
ETHUSDT,2026-08-27 08:09:00+00:00,-0.0414,-0.04,MAE_KILL,2.0,2095.0,TREND,2.0,2026-08-27 08:09:00+00:00,fold2
SOLUSDT,2026-08-27 08:09:00+00:00,0.004600000000000001,0.006,TP,2.0,1.0,CHOP,2.0,2026-08-27 08:09:00+00:00,fold2
BTCUSDT,2026-08-27 08:10:00+00:00,0.004600000000000001,0.006,TP,2.0,5.0,CHOP,2.0,2026-08-27 08:10:00+00:00,fold2
