pair,i,variant,sweep,dir,atr_frac,mfe,mae,ret30,ret60,ret240,t0.6_s1.0,t0.6_s1.5,t0.6_s2.0,t1.0_s1.0,t1.0_s1.5,t1.0_s2.0,t1.6_s1.0,t1.6_s1.5,t1.6_s2.0,ts,hyp
BTCUSDT,88,A_sweeponly,sell,1,0.0010379436362986478,0.0015105078809106603,0.010435951963973003,-0.0013838503877908431,-0.006253127345509155,-0.007316424818613983,-0.0007772338182208113,-0.0007772338182208113,-0.0007772338182208113,-0.00036205636370135216,-0.00036205636370135216,-0.00036205636370135216,-0.002437943636298648,-0.0029569154544479715,-0.003475887272597296,2026-08-12 13:41:00+00:00,REVERSAL
BTCUSDT,88,A_sweeponly,sell,-1,0.0010379436362986478,0.010435951963973003,0.0015105078809106603,0.0013838503877908431,0.006253127345509155,0.007316424818613983,-0.002437943636298648,-0.0007772338182208113,-0.0007772338182208113,-0.002437943636298648,-0.00036205636370135216,-0.00036205636370135216,-0.002437943636298648,0.0002607098180778366,0.0002607098180778366,2026-08-12 13:41:00+00:00,CONTINUATION
BTCUSDT,88,B_samebar,sell,1,0.0010379436362986478,0.0015105078809106603,0.010435951963973003,-0.0013838503877908431,-0.006253127345509155,-0.007316424818613983,-0.0007772338182208113,-0.0007772338182208113,-0.0007772338182208113,-0.00036205636370135216,-0.00036205636370135216,-0.00036205636370135216,-0.002437943636298648,-0.0029569154544479715,-0.003475887272597296,2026-08-12 13:41:00+00:00,REVERSAL
BTCUSDT,88,B_samebar,sell,-1,0.0010379436362986478,0.010435951963973003,0.0015105078809106603,0.0013838503877908431,0.006253127345509155,0.007316424818613983,-0.002437943636298648,-0.0007772338182208113,-0.0007772338182208113,-0.002437943636298648,-0.00036205636370135216,-0.00036205636370135216,-0.002437943636298648,0.0002607098180778366,0.0002607098180778366,2026-08-12 13:41:00+00:00,CONTINUATION
BTCUSDT,88,C_2bar,sell,1,0.0010379436362986478,0.0015105078809106603,0.010435951963973003,-0.0013838503877908431,-0.006253127345509155,-0.007316424818613983,-0.0007772338182208113,-0.0007772338182208113,-0.0007772338182208113,-0.00036205636370135216,-0.00036205636370135216,-0.00036205636370135216,-0.002437943636298648,-0.0029569154544479715,-0.003475887272597296,2026-08-12 13:41:00+00:00,REVERSAL
BTCUSDT,88,C_2bar,sell,-1,0.0010379436362986478,0.010435951963973003,0.0015105078809106603,0.0013838503877908431,0.006253127345509155,0.007316424818613983,-0.002437943636298648,-0.0007772338182208113,-0.0007772338182208113,-0.002437943636298648,-0.00036205636370135216,-0.00036205636370135216,-0.002437943636298648,0.0002607098180778366,0.0002607098180778366,2026-08-12 13:41:00+00:00,CONTINUATION
BTCUSDT,92,E_mss,sell,1,0.001057206769336786,0.00036865553201989717,0.011431445692041459,-0.0033538280815541698,-0.006951343718172218,-0.00903830893333581,-0.002457206769336786,-0.0029858101540051795,-0.003514413538673572,-0.002457206769336786,-0.0029858101540051795,-0.003514413538673572,-0.002457206769336786,-0.0029858101540051795,-0.003514413538673572,2026-08-12 13:45:00+00:00,REVERSAL
BTCUSDT,102,A_sweeponly,sell,1,0.0009294143884084243,0.0006873863816075048,0.009089471401438344,-0.002386279830455154,-0.0063054782659073124,-0.006321136270044157,-0.0008423513669549455,-0.0008423513669549455,-0.0008423513669549455,-0.0023294143884084245,-0.002794121582612636,-0.0032588287768168488,-0.0023294143884084245,-0.002794121582612636,-0.0032588287768168488,2026-08-12 13:55:00+00:00,REVERSAL
BTCUSDT,102,A_sweeponly,sell,-1,0.0009294143884084243,0.009089471401438344,0.0006873863816075048,0.002386279830455154,0.0063054782659073124,0.006321136270044157,-0.0008423513669549455,-0.0008423513669549455,-0.0008423513669549455,-0.0004705856115915757,-0.0004705856115915757,-0.0004705856115915757,8.706302145347904e-05,8.706302145347904e-05,8.706302145347904e-05,2026-08-12 13:55:00+00:00,CONTINUATION
BTCUSDT,102,B_samebar,sell,1,0.0009294143884084243,0.0006873863816075048,0.009089471401438344,-0.002386279830455154,-0.0063054782659073124,-0.006321136270044157,-0.0008423513669549455,-0.0008423513669549455,-0.0008423513669549455,-0.0023294143884084245,-0.002794121582612636,-0.0032588287768168488,-0.0023294143884084245,-0.002794121582612636,-0.0032588287768168488,2026-08-12 13:55:00+00:00,REVERSAL
