pair,ts,net_frac,gross_frac,exit_type,tp_mult,hold_min,regime,ts_parsed,fold
ETHUSDT,2026-08-12 21:06:00+00:00,0.0005000000000000001,0.0019,BE_STOP,1.6,39.0,CHOP,2026-08-12 21:06:00+00:00,f1
NEARUSDT,2026-08-12 21:59:00+00:00,0.004600000000000001,0.006,TP,1.6,53.0,CHOP,2026-08-12 21:59:00+00:00,f1
SOLUSDT,2026-08-13 04:22:00+00:00,0.0005000000000000001,0.0019,BE_STOP,1.6,464.0,CHOP,2026-08-13 04:22:00+00:00,f1
ETHUSDT,2026-08-13 05:06:00+00:00,0.004600000000000001,0.006,TP,1.6,517.0,CHOP,2026-08-13 05:06:00+00:00,f1
BTCUSDT,2026-08-13 05:15:00+00:00,0.004600000000000001,0.006,TP,1.6,837.0,,2026-08-13 05:15:00+00:00,f1
BTCUSDT,2026-08-13 05:15:00+00:00,0.004600000000000001,0.006,TP,1.6,811.0,,2026-08-13 05:15:00+00:00,f1
ETHUSDT,2026-08-13 05:22:00+00:00,0.0005000000000000001,0.0019,BE_STOP,1.6,842.0,,2026-08-13 05:22:00+00:00,f1
NEARUSDT,2026-08-13 08:48:00+00:00,0.0005000000000000001,0.0019,BE_STOP,1.6,213.0,CHOP,2026-08-13 08:48:00+00:00,f1
NEARUSDT,2026-08-13 09:09:00+00:00,0.004600000000000001,0.006,TP,1.6,21.0,CHOP,2026-08-13 09:09:00+00:00,f1
NEARUSDT,2026-08-13 09:14:00+00:00,0.004600000000000001,0.006,TP,1.6,231.0,CHOP,2026-08-13 09:14:00+00:00,f1
ETHUSDT,2026-08-13 11:45:00+00:00,0.0005000000000000001,0.0019,BE_STOP,1.6,150.0,CHOP,2026-08-13 11:45:00+00:00,f1
BTCUSDT,2026-08-13 11:47:00+00:00,0.0005000000000000001,0.0019,BE_STOP,1.6,445.0,CHOP,2026-08-13 11:47:00+00:00,f1
NEARUSDT,2026-08-13 11:51:00+00:00,0.004600000000000001,0.006,TP,1.6,6.0,CHOP,2026-08-13 11:51:00+00:00,f1
ETHUSDT,2026-08-13 12:07:00+00:00,0.0005000000000000001,0.0019,BE_STOP,1.6,177.0,CHOP,2026-08-13 12:07:00+00:00,f1
BTCUSDT,2026-08-13 12:31:00+00:00,0.0005000000000000001,0.0019,BE_STOP,1.6,40.0,CHOP,2026-08-13 12:31:00+00:00,f1
ETHUSDT,2026-08-13 12:32:00+00:00,0.0005000000000000001,0.0019,BE_STOP,1.6,45.0,TREND,2026-08-13 12:32:00+00:00,f1
NEARUSDT,2026-08-13 13:11:00+00:00,0.0005000000000000001,0.0019,BE_STOP,1.6,40.0,CHOP,2026-08-13 13:11:00+00:00,f1
BTCUSDT,2026-08-13 13:15:00+00:00,0.0005000000000000001,0.0019,BE_STOP,1.6,40.0,CHOP,2026-08-13 13:15:00+00:00,f1
ETHUSDT,2026-08-13 14:50:00+00:00,0.0005000000000000001,0.0019,BE_STOP,1.6,95.0,CHOP,2026-08-13 14:50:00+00:00,f1
BTCUSDT,2026-08-13 14:59:00+00:00,0.0005000000000000001,0.0019,BE_STOP,1.6,108.0,CHOP,2026-08-13 14:59:00+00:00,f1
NEARUSDT,2026-08-13 14:59:00+00:00,0.0005000000000000001,0.0019,BE_STOP,1.6,8.0,CHOP,2026-08-13 14:59:00+00:00,f1
NEARUSDT,2026-08-13 15:47:00+00:00,0.004600000000000001,0.006,TP,1.6,47.0,CHOP,2026-08-13 15:47:00+00:00,f1
NEARUSDT,2026-08-13 15:47:00+00:00,0.004600000000000001,0.006,TP,1.6,45.0,CHOP,2026-08-13 15:47:00+00:00,f1
NEARUSDT,2026-08-13 15:56:00+00:00,0.0005000000000000001,0.0019,BE_STOP,1.6,8.0,CHOP,2026-08-13 15:56:00+00:00,f1
NEARUSDT,2026-08-13 15:59:00+00:00,0.004600000000000001,0.006,TP,1.6,232.0,CHOP,2026-08-13 15:59:00+00:00,f1
BTCUSDT,2026-08-13 16:37:00+00:00,0.004600000000000001,0.006,TP,1.6,47.0,CHOP,2026-08-13 16:37:00+00:00,f1
BTCUSDT,2026-08-13 16:39:00+00:00,0.004600000000000001,0.006,TP,1.6,1119.0,CHOP,2026-08-13 16:39:00+00:00,f1
BTCUSDT,2026-08-13 16:39:00+00:00,0.004600000000000001,0.006,TP,1.6,39.0,CHOP,2026-08-13 16:39:00+00:00,f1
BTCUSDT,2026-08-13 16:39:00+00:00,0.004600000000000001,0.006,TP,1.6,37.0,CHOP,2026-08-13 16:39:00+00:00,f1
BTCUSDT,2026-08-13 16:40:00+00:00,0.004600000000000001,0.006,TP,1.6,1538.0,,2026-08-13 16:40:00+00:00,f1
NEARUSDT,2026-08-13 16:42:00+00:00,0.004600000000000001,0.006,TP,1.6,4.0,CHOP,2026-08-13 16:42:00+00:00,f1
XRPUSDT,2026-08-13 19:04:00+00:00,0.0005000000000000001,0.0019,BE_STOP,1.6,133.0,CHOP,2026-08-13 19:04:00+00:00,f1
