pair,ts,net_frac,exit_type,mfe_frac,tp_frac,tsp,fold
BTCUSDT,2026-08-13 11:47:00+00:00,0.0005000000000000001,BE_STOP,0.004037325205208372,0.006,2026-08-13 11:47:00+00:00,f1
NEARUSDT,2026-08-13 11:51:00+00:00,0.004600000000000001,TP,0.006876168647083573,0.006,2026-08-13 11:51:00+00:00,f1
ETHUSDT,2026-08-13 12:07:00+00:00,0.0005000000000000001,BE_STOP,0.0053266273005565185,0.006,2026-08-13 12:07:00+00:00,f1
BTCUSDT,2026-08-13 12:31:00+00:00,0.0005000000000000001,BE_STOP,0.003509540529125946,0.006,2026-08-13 12:31:00+00:00,f1
ETHUSDT,2026-08-13 12:32:00+00:00,0.0005000000000000001,BE_STOP,0.005240114271730466,0.006,2026-08-13 12:32:00+00:00,f1
NEARUSDT,2026-08-13 13:11:00+00:00,0.0005000000000000001,BE_STOP,0.00314275353559765,0.006,2026-08-13 13:11:00+00:00,f1
BTCUSDT,2026-08-13 13:15:00+00:00,0.0005000000000000001,BE_STOP,0.003031508505677049,0.006,2026-08-13 13:15:00+00:00,f1
ETHUSDT,2026-08-13 14:50:00+00:00,0.0005000000000000001,BE_STOP,0.0034437702671964846,0.006,2026-08-13 14:50:00+00:00,f1
BTCUSDT,2026-08-13 14:59:00+00:00,0.0005000000000000001,BE_STOP,0.0037719329901355707,0.006,2026-08-13 14:59:00+00:00,f1
NEARUSDT,2026-08-13 14:59:00+00:00,0.0005000000000000001,BE_STOP,0.0034994569808133387,0.006,2026-08-13 14:59:00+00:00,f1
NEARUSDT,2026-08-13 15:47:00+00:00,0.004600000000000001,TP,0.0064578429597440595,0.006,2026-08-13 15:47:00+00:00,f1
NEARUSDT,2026-08-13 15:47:00+00:00,0.004600000000000001,TP,0.0065178032589015816,0.006,2026-08-13 15:47:00+00:00,f1
NEARUSDT,2026-08-13 15:56:00+00:00,0.0005000000000000001,BE_STOP,0.0036443148688046676,0.006,2026-08-13 15:56:00+00:00,f1
NEARUSDT,2026-08-13 15:59:00+00:00,0.004600000000000001,TP,0.007032860434097281,0.006,2026-08-13 15:59:00+00:00,f1
BTCUSDT,2026-08-13 16:37:00+00:00,0.004600000000000001,TP,0.006449727936464031,0.006,2026-08-13 16:37:00+00:00,f1
BTCUSDT,2026-08-13 16:39:00+00:00,0.004600000000000001,TP,0.006829811006175849,0.006,2026-08-13 16:39:00+00:00,f1
BTCUSDT,2026-08-13 16:39:00+00:00,0.004600000000000001,TP,0.006023127294750014,0.006,2026-08-13 16:39:00+00:00,f1
BTCUSDT,2026-08-13 16:39:00+00:00,0.004600000000000001,TP,0.006211209506509257,0.006,2026-08-13 16:39:00+00:00,f1
BTCUSDT,2026-08-13 16:40:00+00:00,0.004600000000000001,TP,0.006974609393483494,0.006,2026-08-13 16:40:00+00:00,f1
NEARUSDT,2026-08-13 16:42:00+00:00,0.004600000000000001,TP,0.006844710627635579,0.006,2026-08-13 16:42:00+00:00,f1
XRPUSDT,2026-08-13 19:04:00+00:00,0.0005000000000000001,BE_STOP,0.0039749577660737395,0.006,2026-08-13 19:04:00+00:00,f1
BTCUSDT,2026-08-13 19:14:00+00:00,0.0005000000000000001,BE_STOP,0.003292186270761807,0.006,2026-08-13 19:14:00+00:00,f1
BTCUSDT,2026-08-14 07:03:00+00:00,0.0005000000000000001,BE_STOP,0.0030629885450884097,0.006,2026-08-14 07:03:00+00:00,f1
BTCUSDT,2026-08-14 08:47:00+00:00,0.0005000000000000001,BE_STOP,0.004678039415578515,0.006,2026-08-14 08:47:00+00:00,f1
BTCUSDT,2026-08-14 08:51:00+00:00,0.0005000000000000001,BE_STOP,0.005167753598461078,0.006,2026-08-14 08:51:00+00:00,f1
BTCUSDT,2026-08-14 08:53:00+00:00,0.0005000000000000001,BE_STOP,0.005341407332295497,0.006,2026-08-14 08:53:00+00:00,f1
BTCUSDT,2026-08-14 13:47:00+00:00,-0.02154785408396109,MAX_AGE,0.0009065049545184583,0.006,2026-08-14 13:47:00+00:00,f1
BTCUSDT,2026-08-14 16:00:00+00:00,0.0005000000000000001,BE_STOP,0.00335181844502345,0.006,2026-08-14 16:00:00+00:00,f1
ETHUSDT,2026-08-14 16:06:00+00:00,0.0005000000000000001,BE_STOP,0.004430771199453989,0.006,2026-08-14 16:06:00+00:00,f1
ETHUSDT,2026-08-14 16:47:00+00:00,0.0005000000000000001,BE_STOP,0.0035566944538959117,0.006,2026-08-14 16:47:00+00:00,f1
BTCUSDT,2026-08-14 17:56:00+00:00,0.0005000000000000001,BE_STOP,0.005037907511712483,0.006,2026-08-14 17:56:00+00:00,f1
SOLUSDT,2026-08-14 18:14:00+00:00,0.004600000000000001,TP,0.007669483667576146,0.006,2026-08-14 18:14:00+00:00,f1
ETHUSDT,2026-08-14 18:39:00+00:00,0.0005000000000000001,BE_STOP,0.003128691376943518,0.006,2026-08-14 18:39:00+00:00,f1
BTCUSDT,2026-08-14 19:28:00+00:00,0.0005000000000000001,BE_STOP,0.0031746031746031746,0.006,2026-08-14 19:28:00+00:00,f1
ETHUSDT,2026-08-15 05:07:00+00:00,-0.008436945280502726,MAX_AGE,0.0011701886533868526,0.006,2026-08-15 05:07:00+00:00,f1
BTCUSDT,2026-08-15 05:18:00+00:00,-0.013430863617867047,MAX_AGE,0.0012567690236955412,0.006,2026-08-15 05:18:00+00:00,f1
ETHUSDT,2026-08-15 05:40:00+00:00,0.0005000000000000001,BE_STOP,0.00468858223666682,0.006,2026-08-15 05:40:00+00:00,f1
BTCUSDT,2026-08-15 06:15:00+00:00,0.0005000000000000001,BE_STOP,0.0042238765871331066,0.006,2026-08-15 06:15:00+00:00,f1
SOLUSDT,2026-08-15 06:50:00+00:00,0.0005000000000000001,BE_STOP,0.003562536419981873,0.006,2026-08-15 06:50:00+00:00,f1
ETHUSDT,2026-08-15 16:42:00+00:00,-0.011725591374778738,MAX_AGE,0.00064367322855766,0.006,2026-08-15 16:42:00+00:00,f1
ETHUSDT,2026-08-15 19:14:00+00:00,-0.004091262403382052,MAX_AGE,0.0026012004725602922,0.006,2026-08-15 19:14:00+00:00,f1
