pair,ts,net_frac,gross_frac,exit_type,mfe,mae,tp_frac,lev,hold_min,regime,atr_frac,armed,post_arm_dd
NEARUSDT,2026-08-13 09:09:00+00:00,0.004600000000000001,0.006,TP,0.006370958047842255,0.0022839283567736663,0.006,10,21.0,CHOP,0.0006482578606632028,False,0.0
NEARUSDT,2026-08-13 09:14:00+00:00,0.004600000000000001,0.006,TP,0.006494677972217297,0.010283240122677185,0.006,10,231.0,CHOP,0.0009836516240990414,False,0.0
ETHUSDT,2026-08-13 11:45:00+00:00,0.0005000000000000001,0.0019,BE_STOP,0.004116690924157273,0.003861721679822362,0.006,10,150.0,CHOP,0.0005736807997535169,False,0.0
BTCUSDT,2026-08-13 11:47:00+00:00,0.0005000000000000001,0.0019,BE_STOP,0.004037325205208372,0.006264381103367839,0.006,10,445.0,CHOP,0.0002131116343224675,False,0.0
NEARUSDT,2026-08-13 11:51:00+00:00,0.004600000000000001,0.006,TP,0.006876168647083573,0.0011460281078472844,0.006,10,6.0,CHOP,0.0007841244948428637,False,0.0
ETHUSDT,2026-08-13 12:07:00+00:00,0.0005000000000000001,0.0019,BE_STOP,0.0053266273005565185,0.0026420920275668975,0.006,10,177.0,CHOP,0.0003497778171893721,False,0.0
BTCUSDT,2026-08-13 12:31:00+00:00,0.0005000000000000001,0.0019,BE_STOP,0.003509540529125946,0.00048537875301778936,0.006,10,40.0,CHOP,0.000312817150889774,False,0.0
ETHUSDT,2026-08-13 12:32:00+00:00,0.0005000000000000001,0.0019,BE_STOP,0.005240114271730466,0.0008724657264607683,0.006,10,45.0,TREND,0.0006038101216664134,False,0.0
NEARUSDT,2026-08-13 13:11:00+00:00,0.0005000000000000001,0.0019,BE_STOP,0.00314275353559765,0.000181312703976772,0.006,10,40.0,CHOP,0.0007597865690456261,False,0.0
BTCUSDT,2026-08-13 13:15:00+00:00,0.0005000000000000001,0.0019,BE_STOP,0.003031508505677049,0.001410406187547813,0.006,10,40.0,CHOP,0.0006245635299373803,False,0.0
ETHUSDT,2026-08-13 14:50:00+00:00,0.0005000000000000001,0.0019,BE_STOP,0.0034437702671964846,0.0024492559657632537,0.006,10,95.0,CHOP,0.0007001652737672746,False,0.0
BTCUSDT,2026-08-13 14:59:00+00:00,0.0005000000000000001,0.0019,BE_STOP,0.0037719329901355707,0.003153737649822151,0.006,10,108.0,CHOP,0.00042486920506311154,False,0.0
NEARUSDT,2026-08-13 14:59:00+00:00,0.0005000000000000001,0.0019,BE_STOP,0.0034994569808133387,0.0,0.006,10,8.0,CHOP,0.0009782964712371906,False,0.0
NEARUSDT,2026-08-13 15:47:00+00:00,0.004600000000000001,0.006,TP,0.0064578429597440595,0.0011467197778984928,0.006,10,47.0,CHOP,0.001211384427028071,False,0.0
NEARUSDT,2026-08-13 15:47:00+00:00,0.004600000000000001,0.006,TP,0.0065178032589015816,0.001086300543150286,0.006,10,45.0,CHOP,0.0009397361841537889,False,0.0
NEARUSDT,2026-08-13 15:56:00+00:00,0.0005000000000000001,0.0019,BE_STOP,0.0036443148688046676,0.0,0.006,10,8.0,CHOP,0.0008633555463001539,False,0.0
NEARUSDT,2026-08-13 15:59:00+00:00,0.004600000000000001,0.006,TP,0.007032860434097281,0.014005092761004074,0.006,10,232.0,CHOP,0.0005629752810545687,False,0.0
BTCUSDT,2026-08-13 16:37:00+00:00,0.004600000000000001,0.006,TP,0.006449727936464031,0.0,0.006,10,47.0,CHOP,0.00048234953028422037,False,0.0
BTCUSDT,2026-08-13 16:39:00+00:00,0.004600000000000001,0.006,TP,0.006829811006175849,0.008240212679117096,0.006,10,1119.0,CHOP,0.0003918282700326068,False,0.0
BTCUSDT,2026-08-13 16:39:00+00:00,0.004600000000000001,0.006,TP,0.006023127294750014,0.002247435557742534,0.006,10,39.0,CHOP,0.0007064495429876471,False,0.0
BTCUSDT,2026-08-13 16:39:00+00:00,0.004600000000000001,0.006,TP,0.006211209506509257,0.002057788374205268,0.006,10,37.0,CHOP,0.0007441602511425449,False,0.0
BTCUSDT,2026-08-13 16:40:00+00:00,0.004600000000000001,0.006,TP,0.006974609393483494,0.009125981445204656,0.006,10,1538.0,,0.0007815284835981506,False,0.0
NEARUSDT,2026-08-13 16:42:00+00:00,0.004600000000000001,0.006,TP,0.006844710627635579,0.0005500213897206508,0.006,10,4.0,CHOP,0.0011698867654377006,False,0.0
XRPUSDT,2026-08-13 19:04:00+00:00,0.0005000000000000001,0.0019,BE_STOP,0.0039749577660737395,0.003478088045314577,0.006,10,133.0,CHOP,0.001519001717749557,False,0.0
BTCUSDT,2026-08-13 19:14:00+00:00,0.0005000000000000001,0.0019,BE_STOP,0.003292186270761807,0.0,0.006,10,10.0,CHOP,0.000452370947336297,False,0.0
BTCUSDT,2026-08-14 07:03:00+00:00,0.0005000000000000001,0.0019,BE_STOP,0.0030629885450884097,0.008155821025126601,0.006,10,855.0,CHOP,0.0014224979689110595,False,0.0
BTCUSDT,2026-08-14 08:47:00+00:00,0.0005000000000000001,0.0019,BE_STOP,0.004678039415578515,0.0102881932700385,0.006,10,963.0,CHOP,0.001287016614503214,False,0.0
BTCUSDT,2026-08-14 08:51:00+00:00,0.0005000000000000001,0.0019,BE_STOP,0.005167753598461078,0.009791115463423407,0.006,10,965.0,CHOP,0.0013438608098490501,False,0.0
BTCUSDT,2026-08-14 08:53:00+00:00,0.0005000000000000001,0.0019,BE_STOP,0.005341407332295497,0.001299647238606687,0.006,10,110.0,TREND,0.0006938026118534168,False,0.0
BTCUSDT,2026-08-14 13:47:00+00:00,-0.02154785408396109,-0.02014785408396109,MAX_AGE,0.0009065049545184583,0.021876465255853163,0.006,10,2880.0,,0.0009978252812174885,False,0.0
BTCUSDT,2026-08-14 16:00:00+00:00,0.0005000000000000001,0.0019,BE_STOP,0.00335181844502345,0.005430995809829266,0.006,10,433.0,TREND,0.0005242826735825553,False,0.0
ETHUSDT,2026-08-14 16:06:00+00:00,0.0005000000000000001,0.0019,BE_STOP,0.004430771199453989,0.006462207814366091,0.006,10,434.0,CHOP,0.0004444481682794285,False,0.0
ETHUSDT,2026-08-14 16:47:00+00:00,0.0005000000000000001,0.0019,BE_STOP,0.0035566944538959117,0.0014673358285130949,0.006,10,46.0,CHOP,0.00040101103387935435,False,0.0
BTCUSDT,2026-08-14 17:56:00+00:00,0.0005000000000000001,0.0019,BE_STOP,0.005037907511712483,0.006090319872947415,0.006,10,542.0,TREND,0.0003181764605287419,False,0.0
SOLUSDT,2026-08-14 18:14:00+00:00,0.004600000000000001,0.006,TP,0.007669483667576146,0.0020398972103742863,0.006,10,86.0,CHOP,0.00046928989626422073,False,0.0
ETHUSDT,2026-08-14 18:39:00+00:00,0.0005000000000000001,0.0019,BE_STOP,0.003128691376943518,0.004400387361789516,0.006,10,152.0,CHOP,0.0004754607522541625,False,0.0
BTCUSDT,2026-08-14 19:28:00+00:00,0.0005000000000000001,0.0019,BE_STOP,0.0031746031746031746,0.0008968253968253968,0.006,10,73.0,CHOP,0.00039807256235829146,False,0.0
ETHUSDT,2026-08-15 05:07:00+00:00,-0.008436945280502726,-0.007036945280502725,MAX_AGE,0.0011701886533868526,0.017990332765809462,0.006,10,2880.0,CHOP,0.0005967660925412949,False,0.0
BTCUSDT,2026-08-15 05:18:00+00:00,-0.013430863617867047,-0.012030863617867047,MAX_AGE,0.0012567690236955412,0.021504366607193164,0.006,10,2880.0,CHOP,0.0006773495387449603,False,0.0
ETHUSDT,2026-08-15 05:40:00+00:00,0.0005000000000000001,0.0019,BE_STOP,0.00468858223666682,0.0022856838403751884,0.006,10,659.0,CHOP,0.00046429142278682446,False,0.0
BTCUSDT,2026-08-15 06:15:00+00:00,0.0005000000000000001,0.0019,BE_STOP,0.0042238765871331066,0.002247859049381385,0.006,10,646.0,CHOP,0.0003353166181462531,False,0.0
SOLUSDT,2026-08-15 06:50:00+00:00,0.0005000000000000001,0.0019,BE_STOP,0.003562536419981873,5.29745192563025e-05,0.006,10,92.0,CHOP,0.00026487259628117643,False,0.0
ETHUSDT,2026-08-15 16:42:00+00:00,-0.011725591374778738,-0.010325591374778738,MAX_AGE,0.00064367322855766,0.015126320871104462,0.006,10,2880.0,CHOP,0.001407652048643271,False,0.0
ETHUSDT,2026-08-15 19:14:00+00:00,-0.004091262403382052,-0.002691262403382052,MAX_AGE,0.0026012004725602922,0.012815282979884312,0.006,10,2880.0,CHOP,0.0008453712330083843,False,0.0
SOLUSDT,2026-08-16 00:28:00+00:00,0.0005000000000000001,0.0019,BE_STOP,0.003695119528507998,0.002622342891199358,0.006,10,314.0,CHOP,0.00010595324812927148,False,0.0
ETHUSDT,2026-08-16 13:47:00+00:00,-0.007918842022446564,-0.006518842022446565,MAX_AGE,0.0026920997843108774,0.010286711303072647,0.006,10,2880.0,CHOP,0.0010604778190398032,False,0.0
ETHUSDT,2026-08-16 17:11:00+00:00,0.0005000000000000001,0.0019,BE_STOP,0.004135082913986009,0.004660594093042126,0.006,10,2161.0,CHOP,9.251423354233519e-05,False,0.0
ETHUSDT,2026-08-16 17:35:00+00:00,0.0005000000000000001,0.0019,BE_STOP,0.005261004267259065,0.003544535198244245,0.006,10,2084.0,CHOP,0.0001723301542089159,False,0.0
ETHUSDT,2026-08-16 17:56:00+00:00,-0.005801295877914654,-0.0044012958779146545,MAX_AGE,0.0021899910482118417,0.007966025832303191,0.006,10,2880.0,CHOP,0.0006051591530512148,False,0.0
ETHUSDT,2026-08-16 18:04:00+00:00,0.0005000000000000001,0.0019,BE_STOP,0.00588107050371963,3.190454161146938e-05,0.006,10,257.0,CHOP,8.659804151692319e-05,False,0.0
NEARUSDT,2026-08-16 20:52:00+00:00,0.004600000000000001,0.006,TP,0.008261382694577359,0.001366544505869917,0.006,10,176.0,CHOP,0.0006921459185574995,False,0.0
BTCUSDT,2026-08-16 21:40:00+00:00,0.004600000000000001,0.006,TP,0.007846928716214521,0.00016773027705569788,0.006,10,269.0,TREND,0.00016207898739737498,False,0.0
BTCUSDT,2026-08-16 21:40:00+00:00,0.004600000000000001,0.006,TP,0.006915077275909343,0.0011071092569539046,0.006,10,245.0,CHOP,0.00018712024432881015,False,0.0
ETHUSDT,2026-08-16 21:40:00+00:00,0.004600000000000001,0.006,TP,0.008254635601632854,0.002388801299507907,0.006,10,216.0,TREND,0.00019641255129285753,False,0.0
BTCUSDT,2026-08-16 21:47:00+00:00,0.0005000000000000001,0.0019,BE_STOP,0.004940320985969292,0.005494182863291406,0.006,10,2372.0,CHOP,9.442630859786754e-05,False,0.0
BTCUSDT,2026-08-16 21:50:00+00:00,0.0005000000000000001,0.0019,BE_STOP,0.005323908091198078,0.005106573344924543,0.006,10,2410.0,CHOP,0.00010198189345477324,False,0.0
BTCUSDT,2026-08-16 21:50:00+00:00,0.0005000000000000001,0.0019,BE_STOP,0.005439084317703342,0.004990189344851363,0.006,10,1282.0,CHOP,6.68470555229335e-06,False,0.0
BTCUSDT,2026-08-16 21:50:00+00:00,0.0005000000000000001,0.0019,BE_STOP,0.005304972459831875,0.00036646191334374796,0.006,10,57.0,CHOP,0.0002134861610202224,False,0.0
BTCUSDT,2026-08-16 21:51:00+00:00,0.0005000000000000001,0.0019,BE_STOP,0.005820710694346864,0.004604561115876721,0.006,10,1749.0,CHOP,9.162460504585585e-05,False,0.0
SOLUSDT,2026-08-16 22:05:00+00:00,0.0005000000000000001,0.0019,BE_STOP,0.004310923692621712,0.00045660874002836097,0.006,10,15.0,TREND,0.002150665536016485,False,0.0
SOLUSDT,2026-08-16 22:05:00+00:00,0.0005000000000000001,0.0019,BE_STOP,0.00408355161528629,0.0002149237692256746,0.006,10,12.0,TREND,0.0020331404776296976,False,0.0
BTCUSDT,2026-08-16 22:49:00+00:00,0.0005000000000000001,0.0019,BE_STOP,0.0030842841486246617,0.0013631931487217378,0.006,10,67.0,TREND,0.0005152592873356198,False,0.0
BTCUSDT,2026-08-16 22:51:00+00:00,0.0005000000000000001,0.0019,BE_STOP,0.0037007598639239962,0.0007439671891393971,0.006,10,64.0,TREND,0.0006676628620481353,False,0.0
BTCUSDT,2026-08-16 22:53:00+00:00,0.0005000000000000001,0.0019,BE_STOP,0.0037530222081632735,0.0006914716901952493,0.006,10,69.0,TREND,0.0005460241967403799,False,0.0
BTCUSDT,2026-08-16 22:57:00+00:00,0.0005000000000000001,0.0019,BE_STOP,0.004109210287962617,4.131456592690094e-05,0.006,10,60.0,TREND,0.00042699284894805807,False,0.0
XRPUSDT,2026-08-16 22:59:00+00:00,0.0005000000000000001,0.0019,BE_STOP,0.0037197144867799703,0.001809590831406478,0.006,10,79.0,CHOP,0.001184851139611374,False,0.0
ETHUSDT,2026-08-17 01:01:00+00:00,0.004600000000000001,0.006,TP,0.008107516666043998,0.0009393831028464328,0.006,10,132.0,CHOP,0.0006850939268730175,False,0.0
ETHUSDT,2026-08-17 01:01:00+00:00,0.004600000000000001,0.006,TP,0.00832278970942302,0.0007260419502768715,0.006,10,130.0,CHOP,0.0006390999520293881,False,0.0
ETHUSDT,2026-08-17 01:01:00+00:00,0.004600000000000001,0.006,TP,0.008085994417194663,0.0009607122079834942,0.006,10,127.0,CHOP,0.0004975116791343377,False,0.0
ETHUSDT,2026-08-17 01:01:00+00:00,0.004600000000000001,0.006,TP,0.0074085136569469355,0.0016321131598457204,0.006,10,121.0,CHOP,0.00040193262923372906,False,0.0
BTCUSDT,2026-08-17 01:15:00+00:00,0.0005000000000000001,0.0019,BE_STOP,0.004014309120872636,0.0031291269433880936,0.006,10,132.0,CHOP,0.0003642664282569799,False,0.0
ETHUSDT,2026-08-17 01:37:00+00:00,0.0005000000000000001,0.0019,BE_STOP,0.0033703168732772066,0.0013174394057237236,0.006,10,28.0,CHOP,0.0015457048678743693,False,0.0
BTCUSDT,2026-08-17 01:54:00+00:00,0.0005000000000000001,0.0019,BE_STOP,0.003216577035195051,5.55403040117555e-05,0.006,10,39.0,CHOP,0.0007200970436462779,False,0.0
BTCUSDT,2026-08-17 02:52:00+00:00,0.004600000000000001,0.006,TP,0.0060164234242380005,0.000683648430225803,0.006,10,110.0,CHOP,0.0005970877075389631,False,0.0
BTCUSDT,2026-08-17 02:53:00+00:00,0.004600000000000001,0.006,TP,0.006536973617453115,0.0011256976154236428,0.006,10,108.0,CHOP,0.0007015791476407833,False,0.0
BTCUSDT,2026-08-17 02:53:00+00:00,0.004600000000000001,0.006,TP,0.006329555361813472,0.001331536815407783,0.006,10,106.0,CHOP,0.0008326634133085598,False,0.0
BTCUSDT,2026-08-17 05:28:00+00:00,0.0005000000000000001,0.0019,BE_STOP,0.0030156510871177343,0.0009215804473452716,0.006,10,150.0,CHOP,0.0005815109500800086,False,0.0
SOLUSDT,2026-08-17 06:45:00+00:00,0.004600000000000001,0.006,TP,0.006559601900022742,0.001769628910148031,0.006,10,306.0,CHOP,0.0007346526034073669,False,0.0
NEARUSDT,2026-08-17 06:46:00+00:00,0.004600000000000001,0.006,TP,0.00706670727992693,0.00664026804751746,0.006,10,78.0,TREND,0.0006091989034419647,False,0.0
ETHUSDT,2026-08-17 07:01:00+00:00,0.0005000000000000001,0.0019,BE_STOP,0.005195296889131881,0.0026029068422270605,0.006,10,245.0,TREND,0.000983695962452038,False,0.0
BTCUSDT,2026-08-17 07:17:00+00:00,0.0005000000000000001,0.0019,BE_STOP,0.004462053617197032,0.0014242610167299868,0.006,10,263.0,CHOP,0.000531985486552669,False,0.0
BTCUSDT,2026-08-17 09:15:00+00:00,0.0005000000000000001,0.0019,BE_STOP,0.003092343615428247,0.0005951659300570275,0.006,10,117.0,TREND,0.0002274046694208616,False,0.0
BTCUSDT,2026-08-17 13:02:00+00:00,0.0005000000000000001,0.0019,BE_STOP,0.005775431777022045,0.002008228531043074,0.006,10,226.0,CHOP,8.631483867011145e-05,False,0.0
BTCUSDT,2026-08-17 15:28:00+00:00,0.004600000000000001,0.006,TP,0.006925373134328404,0.006097407698350331,0.006,10,519.0,CHOP,0.00021041409493883148,False,0.0
SOLUSDT,2026-08-17 16:20:00+00:00,0.0005000000000000001,0.0019,BE_STOP,0.004972761927373871,0.008877105509609193,0.006,10,559.0,TREND,0.0008771582710089407,False,0.0
BTCUSDT,2026-08-17 17:23:00+00:00,0.004600000000000001,0.006,TP,0.0060347682636488495,0.0011404040467159488,0.006,10,114.0,TREND,0.0006001069435654098,False,0.0
SOLUSDT,2026-08-17 17:39:00+00:00,0.0005000000000000001,0.0019,BE_STOP,0.003726577211256123,0.0018698726643051303,0.006,10,79.0,CHOP,0.00048533918248565646,False,0.0
NEARUSDT,2026-08-17 17:46:00+00:00,-0.0264,-0.025,MAE_KILL,0.0015732784702892021,0.026443180442938443,0.006,10,659.0,TREND,0.001227502982313583,False,0.0
BTCUSDT,2026-08-17 18:23:00+00:00,0.004600000000000001,0.006,TP,0.00610585454698414,0.00026330426599653584,0.006,10,44.0,TREND,0.0006782922659546612,False,0.0
BTCUSDT,2026-08-17 18:29:00+00:00,0.0005000000000000001,0.0019,BE_STOP,0.0036398788986490654,0.004863014976034637,0.006,10,66.0,CHOP,0.0008973142960162438,False,0.0
BTCUSDT,2026-08-17 19:01:00+00:00,0.0005000000000000001,0.0019,BE_STOP,0.005364893729644207,0.0002241859248603735,0.006,10,75.0,TREND,0.000785873973704395,False,0.0
ETHUSDT,2026-08-18 02:30:00+00:00,0.004600000000000001,0.006,TP,0.006108815571449475,0.005699813327180883,0.006,10,447.0,CHOP,0.0003951441096186095,False,0.0
NEARUSDT,2026-08-18 02:49:00+00:00,0.0005000000000000001,0.0019,BE_STOP,0.004174083849978465,0.004235467436007554,0.006,10,19.0,CHOP,0.0007892175346598139,False,0.0
ETHUSDT,2026-08-18 03:36:00+00:00,0.0005000000000000001,0.0019,BE_STOP,0.0034153330478411165,0.01399969336019076,0.006,10,1541.0,CHOP,0.0005332209490879604,False,0.0
NEARUSDT,2026-08-18 06:30:00+00:00,-0.0264,-0.025,MAE_KILL,0.0,0.025073928043371094,0.006,10,174.0,CHOP,0.0005456593677392282,False,0.0
BTCUSDT,2026-08-18 14:26:00+00:00,0.004600000000000001,0.006,TP,0.006533959989386753,0.006794635666949605,0.006,10,1197.0,TREND,0.000837442780469659,False,0.0
ETHUSDT,2026-08-18 14:26:00+00:00,0.004600000000000001,0.006,TP,0.006323719736108325,0.0043455844442807645,0.006,10,475.0,CHOP,0.000427268204180836,False,0.0
BTCUSDT,2026-08-18 14:27:00+00:00,0.004600000000000001,0.006,TP,0.0065240310077519835,0.007596899224806201,0.006,10,1203.0,TREND,0.0007565891472868427,False,0.0
BTCUSDT,2026-08-18 22:01:00+00:00,-0.028554714242977803,-0.027154714242977804,MAX_AGE,0.002711493294464376,0.03486273860822743,0.006,10,2880.0,TREND,0.000491128543149758,False,0.0
BTCUSDT,2026-08-18 22:05:00+00:00,-0.028503875914720034,-0.027103875914720035,MAX_AGE,0.002767033005500675,0.034805106361311844,0.006,10,2880.0,TREND,0.0005940721892611528,False,0.0
BTCUSDT,2026-08-18 22:07:00+00:00,-0.028417050923664595,-0.027017050923664597,MAX_AGE,0.002859056622685737,0.03470961562632748,0.006,10,2880.0,TREND,0.0005717431381163666,False,0.0
ETHUSDT,2026-08-19 00:03:00+00:00,0.0005000000000000001,0.0019,BE_STOP,0.003880976416007116,0.00021444748390340545,0.006,10,118.0,CHOP,0.00035230658069835836,False,0.0
ETHUSDT,2026-08-19 00:03:00+00:00,0.0005000000000000001,0.0019,BE_STOP,0.003980750117696239,0.00011508081812001218,0.006,10,116.0,CHOP,0.0003112413035518013,False,0.0
ETHUSDT,2026-08-19 02:26:00+00:00,0.0005000000000000001,0.0019,BE_STOP,0.0036277338686070623,0.0027600050181909278,0.006,10,140.0,CHOP,0.0005469977477881163,False,0.0
BTCUSDT,2026-08-19 05:53:00+00:00,0.004600000000000001,0.006,TP,0.006165962648346717,0.0002893437930340418,0.006,10,345.0,CHOP,0.00027939690939270275,False,0.0
BTCUSDT,2026-08-19 06:09:00+00:00,0.004600000000000001,0.006,TP,0.0062004048927901964,0.003051410851560479,0.006,10,487.0,CHOP,0.0002205026043205266,False,0.0
NEARUSDT,2026-08-19 06:48:00+00:00,0.004600000000000001,0.006,TP,0.006617968408566002,0.002122744583879533,0.006,10,55.0,TREND,0.0005975793576467697,False,0.0
NEARUSDT,2026-08-19 06:56:00+00:00,0.004600000000000001,0.006,TP,0.008259330559522987,0.001428305284729534,0.006,10,8.0,CHOP,0.0011976472884378303,False,0.0
BTCUSDT,2026-08-19 12:38:00+00:00,0.004600000000000001,0.006,TP,0.006649043694604238,0.001321722904680454,0.006,10,341.0,CHOP,0.00031843525779148965,False,0.0
BTCUSDT,2026-08-19 12:41:00+00:00,0.004600000000000001,0.006,TP,0.006006519232980212,0.0033776960197876658,0.006,10,614.0,CHOP,0.0003089599723711592,False,0.0
ETHUSDT,2026-08-19 12:47:00+00:00,0.004600000000000001,0.006,TP,0.006199666651089525,0.00015057816824264424,0.006,10,9.0,CHOP,0.0006219694289230158,False,0.0
BTCUSDT,2026-08-19 13:03:00+00:00,-0.0214630918801097,-0.020063091880109702,MAX_AGE,0.0013292448031094592,0.024250842983745146,0.006,10,2880.0,CHOP,0.0002247656666056975,False,0.0
XRPUSDT,2026-08-19 13:20:00+00:00,0.004600000000000001,0.006,TP,0.006233303650934968,0.0014841199168891214,0.006,10,33.0,CHOP,0.0008763374747346543,False,0.0
