pair,net_frac,exit_type,mfe_frac,tp_mult
NEARUSDT,0.0009,BE_RAISED,0.0032661948829613933,1.6
SOLUSDT,0.0046500000000000005,TP,0.006226747601331556,1.6
BTCUSDT,0.0009,BE_RAISED,0.003288128077740943,1.6
BTCUSDT,0.0009,BE_RAISED,0.0035168341312421135,1.6
BTCUSDT,0.0009,BE_RAISED,0.003695680673213227,1.6
ETHUSDT,0.0009,BE_RAISED,0.003653997378768035,1.6
NEARUSDT,0.0046500000000000005,TP,0.007027747485762786,1.6
NEARUSDT,0.0046500000000000005,TP,0.006793643091107666,1.6
BTCUSDT,0.0046500000000000005,TP,0.0064114979008396645,1.6
BTCUSDT,0.0046500000000000005,TP,0.006119447999537425,1.6
BTCUSDT,0.0024000000000000002,BE_RAISED_BANKED,0.005090424275048829,1.6
BTCUSDT,0.0046500000000000005,TP,0.00676027610456693,1.6
NEARUSDT,0.0046500000000000005,TP,0.0073398984647379106,1.6
SOLUSDT,0.0009,BE_RAISED,0.003072540978202156,1.6
NEARUSDT,-0.0256,MAE_KILL,0.0027203482045702883,1.6
ETHUSDT,0.0009,BE_RAISED,0.0032656388108204563,1.6
BTCUSDT,0.0024000000000000002,BE_RAISED_BANKED,0.0053610412144777745,1.6
BTCUSDT,0.0024000000000000002,BE_RAISED_BANKED,0.005225018469905866,1.6
BTCUSDT,0.0024000000000000002,BE_RAISED_BANKED,0.005422004853087243,1.6
BTCUSDT,0.0024000000000000002,BE_RAISED_BANKED,0.005756390315941642,1.6
BTCUSDT,0.0024000000000000002,BE_RAISED_BANKED,0.005840732432245664,1.6
SOLUSDT,0.0046500000000000005,TP,0.00685184209139298,1.6
NEARUSDT,0.0046500000000000005,TP,0.0075090785991259856,1.6
BTCUSDT,0.0009,BE_RAISED,0.0032459811099963703,1.6
SOLUSDT,0.0046500000000000005,TP,0.006217083118837414,1.6
NEARUSDT,0.0024000000000000002,BE_RAISED_BANKED,0.00472412331173159,1.6
SOLUSDT,0.0024000000000000002,BE_RAISED_BANKED,0.004555748670142777,1.6
ETHUSDT,0.0046500000000000005,TP,0.006059610021948228,1.6
BTCUSDT,0.0046500000000000005,TP,0.007378353994089106,1.6
BTCUSDT,0.0046500000000000005,TP,0.006641324425787386,1.6
NEARUSDT,0.0009,BE_RAISED,0.003481810541481587,1.6
NEARUSDT,0.0046500000000000005,TP,0.006370958047842255,1.6
BTCUSDT,0.0009,BE_RAISED,0.004073351786612984,1.6
ETHUSDT,0.0024000000000000002,BE_RAISED_BANKED,0.0053266273005565185,1.6
BTCUSDT,0.0009,BE_RAISED,0.004426046757696354,1.6
NEARUSDT,0.0046500000000000005,TP,0.007032860434097281,1.6
SOLUSDT,0.0046500000000000005,TP,0.007233986584243024,1.6
BTCUSDT,0.0046500000000000005,TP,0.006829811006175849,1.6
BTCUSDT,0.0046500000000000005,TP,0.006023127294750014,1.6
BTCUSDT,0.0046500000000000005,TP,0.006848591909963012,1.6
BTCUSDT,0.0046500000000000005,TP,0.006974609393483494,1.6
BTCUSDT,0.0009,BE_RAISED,0.0030629885450884097,1.6
NEARUSDT,0.0046500000000000005,TP,0.008933002481389696,1.6
