pair,i,side,atr_frac,mfe,mae,t_mfe,loc_range_pct,vwap_dev_atr,dist_hi_atr,dist_lo_atr,sweep_lo,sweep_hi,failed_bo,eq_touches,displacement,mss,compression,atr_ratio,atr_pctile,impulse5_atr,roc15_atr,run_len,vol_surge,wick_bias,session,regime,exp_t0.6_s1.0,exp_t0.6_s1.5,exp_t0.6_s2.0,exp_t1.0_s1.0,exp_t1.0_s1.5,exp_t1.0_s2.0,exp_t1.6_s1.0,exp_t1.6_s1.5,exp_t1.6_s2.0,ts,loc_q,vwap_q,disp_q,imp_q,vs_q,wick_q,disthi_q
BTCUSDT,61,short,0.0006717914169739,0.010479275988667,0.0014666608292105,106,0.0923933209647549,-4.46722372936489,11.386201163756931,1.159102244389067,False,False,False,2.0,1.1404821280132724,True,False,,,-2.4857855361594394,-3.1561097256856754,2,1.1083673922166652,-0.0020366598779187,OVERLAP,,-0.0020717914169739,-0.0009969251498156,-0.0009969251498156,-0.0020717914169739,-0.000728208583026,-0.000728208583026,-0.0020717914169739,-0.0003251337328416,-0.0003251337328416,2026-08-12 13:14:00+00:00,Q1 range-lo,disc,large body,rev5 strong,mid vol,neutral,near hi
BTCUSDT,93,long,0.0010267873186408,0.0006265634790054,0.0111765799634062,3,0.2671617161716195,-1.6698371693782026,6.758043478260848,2.4636956521739357,False,False,False,7.0,0.2510869565217392,False,False,1.4266146331377745,,0.7289130434782831,1.64043478260874,-1,0.6532009673720689,-0.292091836734707,OVERLAP,,-0.0007839276088154,-0.0007839276088154,-0.0007839276088154,-0.0024267873186409,-0.0029401809779613,-0.0034535746372817,-0.0024267873186409,-0.0029401809779613,-0.0034535746372817,2026-08-12 13:46:00+00:00,Q1 range-lo,disc,mid,with-trend,mid vol,lower wick,AT high
BTCUSDT,124,short,0.0010382828287354,0.0075494777781262,0.0006837499607941,43,0.2161849710982659,-3.8569216587622894,10.240586902578553,2.8244686589707806,False,False,False,16.0,0.3156759089438151,False,False,1.1628816313045809,,-1.2657244578703724,1.9061387420433384,2,0.683057537826152,-0.2130584192438969,OVERLAP,,-0.0007770303027587,-0.0007770303027587,-0.0007770303027587,-0.0003617171712645,-0.0003617171712645,-0.0003617171712645,0.0002612525259766,0.0002612525259766,0.0002612525259766,2026-08-12 14:17:00+00:00,Q1 range-lo,disc,mid,rev5 strong,mid vol,lower wick,AT high
BTCUSDT,185,long,0.0005526366752369,0.0008076997561156,0.0025254393933906,72,0.1976022080386391,-10.338938036437655,26.504273504273904,6.527065527065563,False,False,False,25.0,0.1766381766383031,False,True,0.667409137827993,,0.8376068376066818,2.67236467236458,-1,0.7986315108149055,0.5694444444441847,OVERLAP,,-0.0019526366752369,-0.0022289550128554,-0.0025052733504739,-0.0019526366752369,-0.0022289550128554,-0.0025052733504739,-0.0019526366752369,-0.0022289550128554,-0.0025052733504739,2026-08-12 15:18:00+00:00,Q1 range-lo,deep disc,small body,with-trend,mid vol,upper wick,mid
BTCUSDT,191,short,0.0005029578739861,0.0017977733450558,0.0015377973573834,48,0.157667759185788,-12.70468304296867,30.593868874468917,5.7265607518462165,False,False,False,25.0,0.5670172298052873,False,True,0.6423622756499244,,-1.394047885433001,0.7925710449766064,2,0.4457576123989104,0.0234899328858118,OVERLAP,,-0.0010982252756083,-0.0010982252756083,-0.0010982252756083,-0.0008970421260138,-0.0008970421260138,-0.0008970421260138,-0.0005952674016221,-0.0005952674016221,-0.0005952674016221,2026-08-12 15:24:00+00:00,Q1 range-lo,deep disc,mid,rev5 strong,low vol,neutral,mid
BTCUSDT,246,long,0.000571046149347,0.0009448074954727,0.0032501377844264,11,0.1900983267207186,-9.303089163334434,25.89324404175598,6.077604884774288,False,False,False,25.0,1.075438250935552,True,False,1.038992046059221,,1.0506204451446914,0.978924561749028,-1,1.0858457852594414,-0.1116173120729223,NY,,-0.001971046149347,-0.0010573723103917,-0.0010573723103917,-0.001971046149347,-0.0008289538506529,-0.0008289538506529,-0.001971046149347,-0.0004863261610446,-0.0004863261610446,2026-08-12 16:19:00+00:00,Q1 range-lo,deep disc,large body,with-trend,mid vol,neutral,mid
BTCUSDT,276,short,0.0003352941494266,0.0025810558693021,0.001663977410246,157,0.1533551837157173,-17.55432654378884,46.130916414905165,8.355824102047967,False,False,False,25.0,0.1080899630749962,False,True,0.6893599296524093,0.0113636363636363,-1.7858341725411562,-3.040617656931779,2,0.5336332520341867,0.7916666666666666,NY,,-0.0017352941494266,-0.0019029412241399,-0.0020705882988532,-0.0017352941494266,-0.0019029412241399,-0.0020705882988532,-0.0017352941494266,-0.0019029412241399,-0.0020705882988532,2026-08-12 16:49:00+00:00,Q1 range-lo,deep disc,small body,rev5 strong,low vol,upper wick,far from hi
BTCUSDT,324,long,0.0003467772333207,0.002755089985429,0.0028968613397393,204,0.1706917371054004,-15.571573064003662,43.67618429591319,8.989617131733004,False,False,False,25.0,0.6086956521739992,False,False,1.0558229560986976,0.0961538461538461,1.258273848150461,2.77547047371839,-1,2.082300592064134,0.0,NY,TREND,-0.0017467772333207,-0.0019201658499811,-0.0020935544666415,-0.0017467772333207,-0.0019201658499811,-0.0020935544666415,-0.0017467772333207,-0.0019201658499811,-0.0020935544666415,2026-08-12 17:37:00+00:00,Q1 range-lo,deep disc,mid,with-trend,vol surge,neutral,far from hi
BTCUSDT,350,short,0.0003369357199144,0.0023861308116627,0.0032687155240346,83,0.1426599965499407,-17.41520344152271,46.49515536250868,7.736719011025155,False,False,False,25.0,2.030070163715236,True,False,1.1326966986667195,0.1449704142011834,-0.9963247577681794,0.0374206481792175,2,2.0879319415904787,-0.0022988505746791,NY,TREND,-0.0011978385680513,-0.0011978385680513,-0.0011978385680513,-0.0010630642800855,-0.0010630642800855,-0.0010630642800855,-0.0017369357199144,-0.0019054035798717,-0.0008609028481368,2026-08-12 18:03:00+00:00,Q1 range-lo,deep disc,large body,flat,vol surge,neutral,far from hi
BTCUSDT,410,short,0.0002302326194656,0.0013331629409101,0.0043276520081851,23,0.0849577367603932,-29.30535856415424,72.6999510523808,6.749877630935525,False,False,False,25.0,0.3220753793439322,False,True,0.7936035219473488,0.0552763819095477,0.4043073910916692,-2.0558002936859467,2,0.6080316678474635,0.253968253968199,NY,TREND,-0.0016302326194656,-0.0017453489291985,-0.0018604652389313,-0.0016302326194656,-0.0017453489291985,-0.0018604652389313,-0.0016302326194656,-0.0017453489291985,-0.0018604652389313,2026-08-12 19:03:00+00:00,Q1 range-lo,deep disc,mid,with-trend,low vol,upper wick,far from hi
BTCUSDT,416,long,0.0001810240395868,0.0039158417324958,0.0017426520799065,112,0.1073831292047609,-34.92962888056471,90.15930304917391,10.846297448663773,False,False,False,25.0,0.0435594275046737,False,True,0.6456192038567469,0.0024752475247524,0.5401369010577014,3.1972619788428025,-1,1.8439569259581297,-0.8510638297877611,NY,TREND,-0.0012913855762478,-0.0012913855762478,-0.0012913855762478,-0.0012189759604131,-0.0012189759604131,-0.0012189759604131,-0.0015810240395868,-0.0016715360593803,-0.0017620480791737,2026-08-12 19:09:00+00:00,Q1 range-lo,deep disc,small body,with-trend,vol surge,lower wick,far from hi
