pair,ts,net_frac,exit_type,mfe_frac,tp_frac,tsp,fold
ETHUSDT,2026-08-13 12:32:00+00:00,0.0010000000000000002,FLOOR40,0.005240114271730466,0.006,2026-08-13 12:32:00+00:00,f1
NEARUSDT,2026-08-13 13:11:00+00:00,0.0005000000000000001,BE_STOP,0.00314275353559765,0.006,2026-08-13 13:11:00+00:00,f1
BTCUSDT,2026-08-13 13:15:00+00:00,0.0005000000000000001,BE_STOP,0.003031508505677049,0.006,2026-08-13 13:15:00+00:00,f1
BTCUSDT,2026-08-13 13:19:00+00:00,0.0005000000000000001,BE_STOP,0.0033359861842042946,0.006,2026-08-13 13:19:00+00:00,f1
ETHUSDT,2026-08-13 14:50:00+00:00,0.0005000000000000001,BE_STOP,0.0034437702671964846,0.006,2026-08-13 14:50:00+00:00,f1
BTCUSDT,2026-08-13 14:53:00+00:00,0.0010000000000000002,FLOOR40,0.0037719329901355707,0.006,2026-08-13 14:53:00+00:00,f1
NEARUSDT,2026-08-13 14:59:00+00:00,0.0005000000000000001,BE_STOP,0.0034994569808133387,0.006,2026-08-13 14:59:00+00:00,f1
ETHUSDT,2026-08-13 15:29:00+00:00,0.004600000000000001,TP,0.006122104017663852,0.006,2026-08-13 15:29:00+00:00,f1
ETHUSDT,2026-08-13 15:32:00+00:00,0.0010000000000000002,FLOOR40,0.004260160880609629,0.006,2026-08-13 15:32:00+00:00,f1
NEARUSDT,2026-08-13 15:47:00+00:00,0.004600000000000001,TP,0.0064578429597440595,0.006,2026-08-13 15:47:00+00:00,f1
NEARUSDT,2026-08-13 15:55:00+00:00,0.0010000000000000002,FLOOR40,0.0036443148688046676,0.006,2026-08-13 15:55:00+00:00,f1
BTCUSDT,2026-08-13 16:18:00+00:00,0.0010000000000000002,FLOOR40,0.003836471955232775,0.006,2026-08-13 16:18:00+00:00,f1
BTCUSDT,2026-08-13 16:18:00+00:00,0.0010000000000000002,FLOOR40,0.0038349056603773812,0.006,2026-08-13 16:18:00+00:00,f1
