pair,ts,net_frac,exit_type,variant,k,mfe_frac,hold_min
XRPUSDT,2026-08-13 19:04:00+00:00,0.0005,BE_STOP,base,1.6,0.0039749577660737395,133.0
BTCUSDT,2026-08-13 19:14:00+00:00,0.0005,BE_STOP,base,1.6,0.003292186270761807,10.0
BTCUSDT,2026-08-14 07:03:00+00:00,0.0005,BE_STOP,base,1.6,0.0030629885450884097,855.0
BTCUSDT,2026-08-14 08:47:00+00:00,0.0005,BE_STOP,base,1.6,0.004678039415578515,963.0
BTCUSDT,2026-08-14 08:51:00+00:00,0.0005,BE_STOP,base,1.6,0.005167753598461078,965.0
BTCUSDT,2026-08-14 08:53:00+00:00,0.0005,BE_STOP,base,1.6,0.005341407332295497,110.0
BTCUSDT,2026-08-14 13:47:00+00:00,-0.02154785408396109,MAX_AGE,base,1.6,0.0009065049545184583,2880.0
BTCUSDT,2026-08-14 16:00:00+00:00,0.0005,BE_STOP,base,1.6,0.00335181844502345,433.0
ETHUSDT,2026-08-14 16:06:00+00:00,0.0005,BE_STOP,base,1.6,0.004430771199453989,434.0
ETHUSDT,2026-08-14 16:47:00+00:00,0.0005,BE_STOP,base,1.6,0.0035566944538959117,46.0
BTCUSDT,2026-08-14 17:56:00+00:00,0.0005,BE_STOP,base,1.6,0.005037907511712483,542.0
SOLUSDT,2026-08-14 18:14:00+00:00,0.0046,TP,base,1.6,0.007669483667576146,86.0
ETHUSDT,2026-08-14 18:39:00+00:00,0.0005,BE_STOP,base,1.6,0.003128691376943518,152.0
BTCUSDT,2026-08-14 19:28:00+00:00,0.0005,BE_STOP,base,1.6,0.0031746031746031746,73.0
ETHUSDT,2026-08-15 05:07:00+00:00,-0.008436945280502725,MAX_AGE,base,1.6,0.0011701886533868526,2880.0
BTCUSDT,2026-08-15 05:18:00+00:00,-0.013430863617867047,MAX_AGE,base,1.6,0.0012567690236955412,2880.0
ETHUSDT,2026-08-15 05:40:00+00:00,0.0005,BE_STOP,base,1.6,0.00468858223666682,659.0
BTCUSDT,2026-08-15 06:15:00+00:00,0.0005,BE_STOP,base,1.6,0.0042238765871331066,646.0
SOLUSDT,2026-08-15 06:50:00+00:00,0.0005,BE_STOP,base,1.6,0.003562536419981873,92.0
ETHUSDT,2026-08-15 16:42:00+00:00,-0.011725591374778738,MAX_AGE,base,1.6,0.00064367322855766,2880.0
ETHUSDT,2026-08-15 19:14:00+00:00,-0.004091262403382052,MAX_AGE,base,1.6,0.0026012004725602922,2880.0
SOLUSDT,2026-08-16 00:28:00+00:00,0.0005,BE_STOP,base,1.6,0.003695119528507998,314.0
ETHUSDT,2026-08-16 13:47:00+00:00,-0.007918842022446564,MAX_AGE,base,1.6,0.0026920997843108774,2880.0
ETHUSDT,2026-08-16 17:11:00+00:00,0.0005,BE_STOP,base,1.6,0.004135082913986009,2161.0
ETHUSDT,2026-08-16 17:35:00+00:00,0.0005,BE_STOP,base,1.6,0.005261004267259065,2084.0
ETHUSDT,2026-08-16 17:56:00+00:00,-0.005801295877914655,MAX_AGE,base,1.6,0.0021899910482118417,2880.0
ETHUSDT,2026-08-16 18:04:00+00:00,0.0005,BE_STOP,base,1.6,0.00588107050371963,257.0
NEARUSDT,2026-08-16 20:52:00+00:00,0.0046,TP,base,1.6,0.008261382694577359,176.0
BTCUSDT,2026-08-16 21:40:00+00:00,0.0046,TP,base,1.6,0.007846928716214521,269.0
BTCUSDT,2026-08-16 21:40:00+00:00,0.0046,TP,base,1.6,0.006915077275909343,245.0
ETHUSDT,2026-08-16 21:40:00+00:00,0.0046,TP,base,1.6,0.008254635601632854,216.0
BTCUSDT,2026-08-16 21:47:00+00:00,0.0005,BE_STOP,base,1.6,0.004940320985969292,2372.0
BTCUSDT,2026-08-16 21:50:00+00:00,0.0005,BE_STOP,base,1.6,0.005323908091198078,2410.0
BTCUSDT,2026-08-16 21:50:00+00:00,0.0005,BE_STOP,base,1.6,0.005439084317703342,1282.0
BTCUSDT,2026-08-16 21:50:00+00:00,0.0005,BE_STOP,base,1.6,0.005304972459831875,57.0
BTCUSDT,2026-08-16 21:51:00+00:00,0.0005,BE_STOP,base,1.6,0.005820710694346864,1749.0
SOLUSDT,2026-08-16 22:05:00+00:00,0.0005,BE_STOP,base,1.6,0.004310923692621712,15.0
SOLUSDT,2026-08-16 22:05:00+00:00,0.0005,BE_STOP,base,1.6,0.00408355161528629,12.0
BTCUSDT,2026-08-16 22:49:00+00:00,0.0005,BE_STOP,base,1.6,0.0030842841486246617,67.0
BTCUSDT,2026-08-16 22:51:00+00:00,0.0005,BE_STOP,base,1.6,0.0037007598639239962,64.0
BTCUSDT,2026-08-16 22:53:00+00:00,0.0005,BE_STOP,base,1.6,0.0037530222081632735,69.0
BTCUSDT,2026-08-16 22:57:00+00:00,0.0005,BE_STOP,base,1.6,0.004109210287962617,60.0
XRPUSDT,2026-08-16 22:59:00+00:00,0.0005,BE_STOP,base,1.6,0.0037197144867799703,79.0
ETHUSDT,2026-08-17 01:01:00+00:00,0.0046,TP,base,1.6,0.008107516666043998,132.0
ETHUSDT,2026-08-17 01:01:00+00:00,0.0046,TP,base,1.6,0.00832278970942302,130.0
ETHUSDT,2026-08-17 01:01:00+00:00,0.0046,TP,base,1.6,0.008085994417194663,127.0
ETHUSDT,2026-08-17 01:01:00+00:00,0.0046,TP,base,1.6,0.0074085136569469355,121.0
BTCUSDT,2026-08-17 01:15:00+00:00,0.0005,BE_STOP,base,1.6,0.004014309120872636,132.0
ETHUSDT,2026-08-17 01:37:00+00:00,0.0005,BE_STOP,base,1.6,0.0033703168732772066,28.0
BTCUSDT,2026-08-17 01:54:00+00:00,0.0005,BE_STOP,base,1.6,0.003216577035195051,39.0
BTCUSDT,2026-08-17 02:52:00+00:00,0.0046,TP,base,1.6,0.0060164234242380005,110.0
BTCUSDT,2026-08-17 02:53:00+00:00,0.0046,TP,base,1.6,0.006536973617453115,108.0
