pair,i,side,mkt_taker,v1,v2_fill,v2,v2_best,v3_fill,v3,v3_best
BTCUSDT,93,long,-0.0024267873186409,,1,-0.0019267873186408998,0.0002160723911845398,1,-0.0019273009691254625,-0.0019273009691254625
BTCUSDT,124,short,0.0007612525259766633,,1,0.001261252525976663,0.001261252525976663,1,0.0012604223148192538,0.0012604223148192538
BTCUSDT,1728,short,-0.0023653381365601506,,1,-0.0018653381365601506,0.00017920288193609026,1,-0.0018648557087057975,0.0005648557087057977
BTCUSDT,2978,short,-0.0022489188912446613,,1,-0.0017489188912446613,0.0009582702259914583,1,0.0009575914302763201,0.0009575914302763201
BTCUSDT,7297,long,-0.0022187793747478514,,1,-0.0017187793747478514,-0.0017187793747478514,1,-0.0017191889692324673,0.0009107023507719478
BTCUSDT,8727,long,0.00041674227383349917,,1,0.0009167422738334991,0.0009167422738334991,1,0.0009174009743206593,0.0009174009743206593
BTCUSDT,8789,long,-0.002477016019372612,,1,-0.001977016019372612,-0.001977016019372612,1,-0.001977554796770997,0.0013240876748335953
BTCUSDT,10165,short,-0.0025579385433371106,,1,-0.0020579385433371106,0.0007579385433371106,1,-0.002057359863405408,-0.002057359863405408
BTCUSDT,10204,long,0.0009378470809242656,,1,0.0014378470809242652,0.0014378470809242652,1,0.0014387664641563435,0.0014387664641563435
BTCUSDT,10264,long,0.0024892399740491108,,1,0.0029892399740491108,0.0029892399740491108,1,0.002990935441769996,0.002990935441769996
BTCUSDT,10324,long,0.001727449209011316,,1,0.002227449209011316,0.002227449209011316,1,0.0022287635908067194,0.0022287635908067194
BTCUSDT,10348,short,-0.002464663381828304,,1,-0.001964663381828304,0.0013034614109252863,1,0.0013026101058723502,0.0013026101058723502
BTCUSDT,10413,long,0.0005429116002674849,,1,0.0010429116002674847,0.0010429116002674847,0,,
BTCUSDT,10502,short,-0.0023686451939836637,,1,-0.0018686451939836637,-0.0018686451939836637,1,-0.0018681611134269503,-0.0018681611134269503
BTCUSDT,10599,long,0.0018664035946532992,,1,0.0023664035946532993,0.0023664035946532993,1,0.002367787488397498,0.002367787488397498
BTCUSDT,10659,long,-0.003600907604278627,,1,-0.003100907604278627,-0.003100907604278627,1,-0.0031020086085829183,0.0009212051651497508
